rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP00026,八角枫,1.0,4.0,4.0,2.0,2.0
2,CHP05964,牛肾,1.0,6.0,6.0,2.0,2.0
3,CHP02924,南方菟丝子,1.0,4.0,4.0,2.0,2.0
4,CHP02934,南山藤,1.0,5.0,5.0,3.0,3.0
5,CHP02935,南蛇竻,1.0,12.0,12.0,8.0,8.0
6,CHP02892,木麻黄,1.0,11.0,11.0,7.0,7.0
7,CHP02913,苜蓿,1.0,6.0,6.0,4.0,4.0
8,CHP02938,南蛇藤,1.0,4.0,4.0,2.0,2.0
9,CHP02941,南蛇藤叶,1.0,1.0,1.0,1.0,1.0
10,CHP02942,南酸枣,1.0,4.0,4.0,2.0,2.0
11,CHP02947,南天竹叶,1.0,4.0,4.0,3.0,3.0
12,CHP02987,牛扁,1.0,3.0,3.0,3.0,3.0
13,CHP02997,牛耳枫子,1.0,6.0,6.0,4.0,4.0
14,CHP02998,牛角瓜,1.0,2.0,2.0,2.0,2.0
15,CHP03002,牛筋果,1.0,7.0,7.0,1.0,1.0
16,CHP03013,牛舌草,1.0,14.0,14.0,8.0,8.0
17,CHP03018,牛尾菜,1.0,1.0,1.0,1.0,1.0
18,CHP02951,南烛,1.0,4.0,4.0,2.0,2.0
19,CHP03056,藕节,1.0,1.0,1.0,1.0,1.0
20,CHP03077,泡桐果,1.0,2.0,2.0,1.0,1.0
21,CHP03022,牛西西,1.0,9.0,9.0,5.0,5.0
22,CHP03027,牛心茄子,1.0,5.0,5.0,3.0,3.0
23,CHP03038,糯稻根,1.0,13.0,13.0,7.0,7.0
24,CHP03050,欧当归,1.0,3.0,3.0,1.0,1.0
25,CHP05670,紫萁,1.0,2.0,2.0,2.0,2.0
26,CHP05675,紫杉,1.0,102.0,102.0,48.0,48.0
27,CHP05634,紫红獐牙菜,1.0,8.0,8.0,3.0,3.0
28,CHP05635,紫花地丁,1.0,4.0,4.0,1.0,1.0
29,CHP05638,紫花景天,1.0,3.0,3.0,1.0,1.0
30,CHP05581,竹叶柴胡,1.0,2.0,2.0,1.0,1.0
31,CHP05800,鹅臎,1.0,1.0,1.0,1.0,1.0
32,CHP05804,蜂房,1.0,4.0,4.0,1.0,1.0
