rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
370,CHP02889,木榄,0.8034355534474323,19.0,19.0,12.0,12.0
371,CHP00694,地锦草,0.8031325791661571,38.0,38.0,25.0,25.0
372,CHP04173,葶苈子,0.8030618185709293,39.0,39.0,24.0,22.0
373,CHP00241,萆薢,0.8029643741187564,74.0,74.0,45.0,45.0
374,CHP02842,牡丹皮,0.8027955954542279,67.0,67.0,46.0,46.0
375,CHP02137,苦玄参,0.8027800993325179,20.0,20.0,12.0,12.0
376,CHP04108,田葱,0.8026057549982527,4.0,4.0,3.0,3.0
377,CHP01905,金钗凤尾蕨,0.8025883838083588,11.0,11.0,7.0,7.0
378,CHP01146,干姜,0.8024930395687545,106.0,106.0,68.0,66.0
379,CHP03116,萍蓬草,0.802415991873471,6.0,6.0,4.0,4.0
380,CHP00722,灯笼草,0.8022740569987767,10.0,10.0,6.0,6.0
381,CHP04190,桐油,0.8022287064987769,10.0,10.0,5.0,5.0
382,CHP01369,鹤草芽,0.8019269130750413,3.0,3.0,2.0,2.0
383,CHP03946,四季青,0.8018346614805755,17.0,17.0,12.0,11.0
384,CHP01008,防风草,0.8017971235696811,4.0,4.0,3.0,3.0
385,CHP02947,南天竹叶,0.8017839935696812,4.0,4.0,3.0,3.0
386,CHP05403,樟梨,0.8016295313317024,5.0,5.0,3.0,3.0
387,CHP05377,泽漆,0.8015264430607252,39.0,39.0,25.0,25.0
388,CHP05427,长管香茶菜,0.8014523624992356,22.0,22.0,15.0,15.0
389,CHP02618,满山红,0.8011235409429346,43.0,43.0,31.0,29.0
390,CHP03576,山莴苣,0.8010993256234711,6.0,6.0,4.0,4.0
391,CHP03226,青果,0.8010015937489806,14.0,14.0,9.0,9.0
392,CHP00227,北豆,0.8009943773067515,16.0,16.0,10.0,10.0
393,CHP05320,月桂叶,0.8009787456234709,6.0,6.0,4.0,4.0
394,CHP05409,樟树皮,0.800973206426824,4.0,4.0,3.0,3.0
395,CHP01573,花叶假杜鹃,0.8007990923515022,7.0,7.0,4.0,4.0
396,CHP03808,鼠尾草,0.8006587378257325,59.0,59.0,39.0,39.0
397,CHP00678,地骨皮,0.8005707622721713,34.0,34.0,22.0,20.0
398,CHP02240,老鼠簕,0.8004763633325179,20.0,20.0,12.0,12.0
399,CHP02272,藜芦,0.800474779791157,38.0,38.0,23.0,23.0
400,CHP02676,毛萼香茶菜,0.8003841948974599,39.0,39.0,25.0,25.0
401,CHP03373,三白草,0.800378762658535,34.0,34.0,24.0,24.0
402,CHP01309,鬼箭锦鸡儿,0.8003426514274065,11.0,11.0,7.0,7.0
403,CHP03679,肾子草,0.8002555535279727,7.0,7.0,5.0,5.0
404,CHP02007,韭菜,0.8002460935696811,4.0,4.0,3.0,3.0
405,CHP01242,谷精草,0.8001501399991845,20.0,20.0,14.0,14.0
406,CHP05289,玉叶金花,0.8001158642845493,11.0,11.0,6.0,6.0
407,CHP02934,南山藤,0.800044121998369,5.0,5.0,3.0,3.0
408,CHP00042,巴西胡桐,0.8000250939987769,10.0,10.0,7.0,7.0
409,CHP05087,野鸦椿,0.7999843746135027,3.0,3.0,2.0,2.0
410,CHP05615,梓叶,0.7997712987088882,21.0,21.0,13.0,13.0
411,CHP00576,大叶骨碎补,0.7996525314268241,4.0,4.0,3.0,3.0
412,CHP03762,石竹,0.7996175927764188,8.0,8.0,6.0,5.0
413,CHP02375,柳杉,0.7995251032250174,21.0,21.0,14.0,14.0
414,CHP05663,紫茉莉根,0.7995032692288875,3.0,3.0,2.0,2.0
415,CHP04524,仙鹤草,0.799473251903597,11.0,11.0,7.0,7.0
416,CHP06001,麝香,0.7992337676738497,33.0,33.0,20.0,20.0
417,CHP00306,藏红花,0.7992112803470524,134.0,134.0,79.0,78.0
418,CHP03182,千里光,0.7991588531105676,35.0,35.0,22.0,22.0
419,CHP05992,人中白,0.7991253389889844,83.0,83.0,55.0,50.0
420,CHP01690,黄连,0.7991228861757511,24.0,24.0,16.0,16.0
