rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP02998,牛角瓜,1.0,2.0,2.0,2.0,2.0
2,CHP03056,藕节,1.0,1.0,1.0,1.0,1.0
3,CHP03053,欧鼠李,1.0,2.0,2.0,2.0,2.0
4,CHP02941,南蛇藤叶,1.0,1.0,1.0,1.0,1.0
5,CHP02987,牛扁,1.0,3.0,3.0,3.0,3.0
6,CHP05729,总状绿绒蒿,1.0,1.0,1.0,1.0,1.0
7,CHP05843,海燕,1.0,2.0,2.0,2.0,2.0
8,CHP05877,鸡胆,1.0,2.0,2.0,2.0,2.0
9,CHP00069,白椴,1.0,1.0,1.0,1.0,1.0
10,CHP01604,华中瘤足蕨,1.0,1.0,1.0,1.0,1.0
11,CHP04920,岩筋菜,1.0,4.0,4.0,4.0,4.0
12,CHP04933,岩乌头,1.0,1.0,1.0,1.0,1.0
13,CHP00795,东北蛔蒿,1.0,3.0,3.0,3.0,3.0
14,CHP05840,海马,1.0,3.0,3.0,3.0,3.0
15,CHP04021,锁阳,1.0,2.0,2.0,2.0,2.0
16,CHP04119,甜瓜蒂,1.0,4.0,4.0,4.0,4.0
17,CHP01546,槲叶,1.0,1.0,1.0,1.0,1.0
18,CHP01856,见血飞,1.0,3.0,3.0,3.0,3.0
19,CHP00662,稻芽,1.0,2.0,2.0,2.0,2.0
20,CHP00667,地柏枝,1.0,1.0,1.0,1.0,1.0
21,CHP01580,华东膜蕨,1.0,25.0,25.0,25.0,25.0
22,CHP01594,华南皂荚,1.0,1.0,1.0,1.0,1.0
23,CHP04052,唐古特青兰,1.0,2.0,2.0,2.0,2.0
24,CHP01708,黄缅桂,1.0,2.0,2.0,2.0,2.0
25,CHP02504,罗勒子,1.0,1.0,1.0,1.0,1.0
26,CHP02511,萝藦子,1.0,5.0,5.0,5.0,5.0
27,CHP02339,蓼实,1.0,2.0,2.0,2.0,2.0
28,CHP02472,路路通,1.0,10.0,10.0,10.0,10.0
29,CHP03110,飘拂草,1.0,1.0,1.0,1.0,1.0
30,CHP03113,苹果,1.0,1.0,1.0,1.0,1.0
31,CHP00247,薜荔,1.0,2.0,2.0,2.0,2.0
32,CHP00250,篦子三尖杉,1.0,1.0,1.0,1.0,1.0
33,CHP00254,鞭打绣球,1.0,1.0,1.0,1.0,1.0
34,CHP00261,扁桃斑鸠菊,1.0,2.0,2.0,2.0,2.0
35,CHP00272,滨海前胡,1.0,2.0,2.0,2.0,2.0
36,CHP05539,珠芽半支,1.0,2.0,2.0,2.0,2.0
37,CHP05592,苎麻根,1.0,1.0,1.0,1.0,1.0
38,CHP03212,乔木紫珠,1.0,1.0,1.0,1.0,1.0
39,CHP02707,毛葡萄,1.0,1.0,1.0,1.0,1.0
40,CHP02659,毛八角枫,1.0,1.0,1.0,1.0,1.0
41,CHP03375,三叉凤尾蕨,1.0,1.0,1.0,1.0,1.0
42,CHP05295,芋头,1.0,4.0,4.0,4.0,4.0
43,CHP05355,云实叶,1.0,1.0,1.0,1.0,1.0
44,CHP02284,栗柄金粉蕨,1.0,1.0,1.0,1.0,1.0
45,CHP03453,沙枣,1.0,1.0,1.0,1.0,1.0
46,CHP02304,莲房,1.0,5.0,5.0,5.0,5.0
47,CHP03257,青羊参,1.0,2.0,2.0,2.0,2.0
48,CHP03266,清明花,1.0,5.0,5.0,5.0,5.0
49,CHP02609,麦瓶草,1.0,1.0,1.0,1.0,1.0
50,CHP03216,窃衣,1.0,1.0,1.0,1.0,1.0
