rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,avg_score,adj_avg_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
1,CHP01886,绞股蓝,0.9203130186154861,0.9598353975303644,0.9525513858364807,237.07934319,0.9598353975303644,0.9997852078854627,227.0,0.9190283400809717
2,CHP02748,没药,0.9046801256873542,0.9233205159793814,0.9183143957474269,268.68627015,0.9233205159793814,0.9987782254183267,250.0,0.8625429553264605
3,CHP06111,灵芝,0.8450543893913594,0.8778295114840989,0.8742392993855821,248.42575175,0.8778295114840989,0.9935610618224299,206.0,0.7561837455830389
4,CHP01580,华东膜蕨,0.8420501441382519,1.0,0.9350389419993012,25.0,1.0,1.0,25.0,1.0
5,CHP04174,通草,0.8409923741845504,0.9999623291666667,0.9331017314698687,23.9990959,0.9999623291666667,0.9999623291666667,24.0,1.0
6,CHP03682,升麻,0.8354848520414531,0.9198137606716418,0.9095931034720522,123.25504393,0.9198137606716418,0.9999889269911505,113.0,0.8432835820895522
7,CHP03649,蛇菰,0.8352488477000122,1.0,0.9215987231026047,19.0,1.0,1.0,19.0,1.0
8,CHP04359,乌药,0.8352440363533697,0.9999919347368421,0.9215934389646737,18.99984676,0.9999919347368421,0.9999919347368421,19.0,1.0
9,CHP01416,红豆杉,0.8329857593043714,0.7878920253649635,0.7876186252150099,431.7648299,0.7878920253649635,0.9994409501226993,325.0,0.5948905109489051
10,CHP03319,人参,0.8325879065924678,0.9206844902343749,0.9099563602896777,117.84761474999999,0.9206844902343749,0.9975849253703705,107.0,0.84375
11,CHP00617,丹参,0.8304119181431596,0.8684601686382979,0.8645489902039818,204.08813963,0.8684601686382979,0.9960394392265194,179.0,0.7702127659574468
12,CHP03024,牛膝,0.8301007919585222,0.9011818085185185,0.8937082322672996,145.99145298,0.9011818085185185,0.9999706290839693,131.0,0.808641975308642
13,CHP01245,骨碎补,0.8289495099559903,0.9665807345945946,0.9253159606377774,35.76348718,0.9665807345945946,0.999964184,35.0,0.9459459459459459
14,CHP04717,小通草,0.8280409729076612,0.9999998214285714,0.905265019582314,13.9999975,0.9999998214285714,0.9999998214285714,14.0,1.0
15,CHP03148,铺地蜈蚣,0.8280403510862326,0.99999874,0.9052643887489807,13.99998236,0.99999874,0.99999874,14.0,1.0
16,CHP00746,滇茜草,0.8254555777140982,0.9727871290322582,0.9239698529262328,30.156401000000002,0.9727871290322582,1.0,29.0,0.9354838709677419
17,CHP02254,雷公藤,0.8253212727917105,0.8590490839299612,0.8558126499624552,220.77561457000002,0.8590490839299612,0.998435731005291,188.0,0.7354085603112841
18,CHP05380,泽泻,0.8245499571936001,0.9763118983333333,0.9164073097051628,23.43148556,0.9763118983333333,1.0,23.0,0.9583333333333334
19,CHP05066,野茉莉,0.8245343202199461,1.0,0.8966528622716153,12.0,1.0,1.0,12.0,1.0
20,CHP00939,多伞阿魏,0.8245343202199461,1.0,0.8966528622716153,12.0,1.0,1.0,12.0,1.0
21,CHP03683,生姜,0.8228591484923256,0.9322820429333334,0.9135001904703005,69.92115322000001,0.9322820429333334,0.9994557215151515,66.0,0.88
22,CHP02472,路路通,0.8205108291650176,1.0,0.8863181484987768,10.0,1.0,1.0,10.0,1.0
23,CHP00928,多花蒿,0.8205108291650176,1.0,0.8863181484987768,10.0,1.0,1.0,10.0,1.0
24,CHP00229,北沙参,0.8203753057768202,0.9172355585714286,0.9046617097389177,96.30973365,0.9172355585714286,0.9983077463636363,87.0,0.8380952380952381
25,CHP00689,地黄,0.8184496157231989,0.8594391827719299,0.8564967120677137,244.94016709000002,0.8594391827719299,0.9997237467708334,192.0,0.6736842105263158
26,CHP02777,蒙自草胡椒,0.8182543141008284,1.0,0.8803348931566072,9.0,1.0,1.0,9.0,1.0
27,CHP01110,附子,0.8173277810278666,0.9225043901234566,0.90603536890083,74.72285559999999,0.9225043901234566,0.9977025442857143,69.0,0.8641975308641975
28,CHP02547,麻黄根,0.8167945994548029,0.967754076190476,0.9048128570959849,20.322835599999998,0.967754076190476,0.998560075,20.0,0.9523809523809523
29,CHP01076,凤眼草,0.8157983571919,1.0,0.8736868316653076,8.0,1.0,1.0,8.0,1.0
