rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01416,红豆杉,431.7648299,548.0,548.0,326.0,325.0
2,CHP04552,香茶菜,367.42752765,463.0,463.0,278.0,278.0
3,CHP00014,艾叶,283.259863765,397.0,397.0,187.0,181.0
4,CHP02748,没药,268.68627015,291.0,291.0,251.0,250.0
5,CHP00341,柴胡,251.08409850500004,299.0,299.0,204.0,202.0
6,CHP06111,灵芝,248.42575175,283.0,283.0,214.0,206.0
7,CHP00689,地黄,244.94016709000002,285.0,285.0,192.0,192.0
8,CHP01118,甘草,244.079966075,341.0,341.0,180.0,176.0
9,CHP01886,绞股蓝,237.07934319,247.0,247.0,227.0,227.0
10,CHP02254,雷公藤,220.77561457000002,257.0,257.0,189.0,188.0
11,CHP00984,番荔枝,214.72002787999998,285.0,285.0,150.0,146.0
12,CHP00617,丹参,204.08813963,235.0,235.0,181.0,179.0
13,CHP00417,川乌,200.51261190000002,268.0,268.0,152.0,152.0
14,CHP00162,白芷,199.49626762399998,307.0,307.0,127.0,119.0
15,CHP00216,薄荷,195.75772161999998,252.0,252.0,142.0,134.0
16,CHP04419,五味子,195.118906666,239.0,239.0,174.0,174.0
17,CHP00030,八角茴香,184.28182565599997,266.0,266.0,123.0,120.0
18,CHP00360,沉香,184.08030546600003,259.0,259.0,137.0,137.0
19,CHP00412,川贝母,178.912096254,228.0,228.0,135.0,133.0
20,CHP00948,莪术,175.05967705,226.0,226.0,136.0,131.0
21,CHP00513,大黄,166.97803937999998,205.0,205.0,127.0,127.0
22,CHP00543,板蓝根,158.41385219,193.0,193.0,127.0,117.0
23,CHP00168,百部,150.04108685,181.0,181.0,123.0,123.0
24,CHP00355,车前草,150.03746258,197.0,197.0,103.0,102.0
25,CHP03024,牛膝,145.99145298,162.0,162.0,131.0,131.0
26,CHP01717,黄芪,142.47265183000002,171.0,171.0,111.0,110.0
27,CHP00288,补骨脂,138.51738294,181.0,181.0,104.0,102.0
28,CHP00608,大枣,132.72416081,164.0,164.0,109.0,106.0
29,CHP01206,钩藤,131.80964606,174.0,174.0,96.0,96.0
30,CHP05190,淫羊藿,128.88682921,165.0,165.0,103.0,103.0
31,CHP01958,金银花,124.1554578,146.0,146.0,99.0,99.0
32,CHP00812,冬瓜皮,124.07523119500001,174.0,174.0,88.0,87.0
33,CHP03682,升麻,123.25504393,134.0,134.0,113.0,113.0
34,CHP00209,半夏,123.22236331,155.0,155.0,91.0,87.0
35,CHP01516,胡芦巴,123.00307642,144.0,144.0,96.0,96.0
36,CHP00274,槟榔,122.87012962,172.0,172.0,76.0,74.0
37,CHP03423,桑白皮,122.56751993,147.0,147.0,104.0,103.0
38,CHP00638,当归,121.85948238,171.0,171.0,84.0,84.0
39,CHP03319,人参,117.84761474999999,128.0,128.0,108.0,107.0
40,CHP00019,安息香,116.457482744,171.0,171.0,72.0,70.0
41,CHP01236,枸杞子,112.15247551000002,137.0,137.0,92.0,92.0
42,CHP00170,百合,110.78232655,137.0,137.0,85.0,84.0
43,CHP00039,巴戟天,108.079877044,153.0,153.0,62.0,60.0
44,CHP02098,苦丁茶,107.81210880000002,127.0,127.0,87.0,85.0
45,CHP00306,藏红花,107.3600614,134.0,134.0,79.0,78.0
46,CHP01898,芥子,106.86148831,136.0,136.0,76.0,75.0
47,CHP00037,巴豆,104.64181596,137.0,137.0,78.0,76.0
48,CHP02176,辣木,101.68018665000001,118.0,118.0,85.0,82.0
49,CHP00032,八角莲,101.45772987000001,138.0,138.0,69.0,68.0
50,CHP00121,白毛藤,101.44900903,121.0,121.0,78.0,78.0
51,CHP03229,青蒿,101.33222697,120.0,120.0,83.0,80.0
52,CHP02298,连翘,101.18923287,116.0,116.0,86.0,83.0
53,CHP01515,胡椒,99.814614554,134.0,134.0,74.0,73.0
54,CHP01425,红花,99.38213943000001,114.0,114.0,85.0,83.0
55,CHP05319,远志,97.75879311,120.0,120.0,73.0,73.0
56,CHP05646,紫金牛,97.56783645000002,122.0,122.0,77.0,66.0
57,CHP00229,北沙参,96.30973365,105.0,105.0,88.0,87.0
58,CHP00003,阿魏,96.29235001,133.0,133.0,73.0,72.0
59,CHP00779,丁香,95.03242768999999,137.0,137.0,60.0,58.0
60,CHP00419,川芎,94.97611613999999,127.0,127.0,69.0,69.0
61,CHP00333,茶叶,94.18468580999999,125.0,125.0,60.0,58.0
62,CHP00142,白术,92.7122985,118.0,118.0,68.0,65.0
63,CHP00151,白鲜皮,91.24472879,117.0,117.0,72.0,72.0
64,CHP04565,香加皮,90.30273618999999,106.0,106.0,70.0,70.0
65,CHP02017,桔梗,90.26639719000002,99.0,99.0,80.0,79.0
66,CHP03635,芍药,89.95028676000001,107.0,107.0,73.0,73.0
67,CHP04818,续断,87.61868297000001,97.0,97.0,76.0,76.0
68,CHP00720,地榆,86.15107796999999,95.0,95.0,80.0,80.0
69,CHP02495,罗汉果,85.78382034,102.0,102.0,69.0,69.0
70,CHP01146,干姜,85.36282961999999,106.0,106.0,68.0,66.0
71,CHP01374,黑豆,85.036564965,120.0,120.0,58.0,53.0
72,CHP03397,三七,84.56457239000001,117.0,117.0,56.0,56.0
73,CHP00303,苍术,84.47993840000001,111.0,111.0,61.0,61.0
74,CHP01623,槐花,82.230836824,112.0,112.0,66.0,65.0
75,CHP05477,知母,80.94197441,91.0,91.0,72.0,72.0
76,CHP02172,辣椒,80.77297491,108.0,108.0,52.0,50.0
77,CHP01508,厚朴,80.58039674999999,121.0,121.0,60.0,58.0
78,CHP00519,大戟,80.36780246000001,107.0,107.0,58.0,58.0
79,CHP01246,瓜蒌,80.17741502999999,90.0,90.0,69.0,66.0
80,CHP01681,黄荆子,79.47362764,103.0,103.0,56.0,54.0
81,CHP00212,半枝莲,79.38868236,113.0,113.0,56.0,56.0
82,CHP02090,苦参,79.24447527,94.0,94.0,71.0,71.0
