InChIKey,SMILES
AYUUSOCQIYXYAL-UHFFFAOYSA-N,CC(O)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
AZPJRQASQKKGCQ-UHFFFAOYSA-N,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)O
AZQWKYJCGOJGHM-UHFFFAOYSA-N,O=C1C=CC(=O)C=C1
BATBIHFGKSMQCY-UHFFFAOYSA-N,COCC1CCCN1C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CN(S(=O)(=O)c3cccc(Cl)c3)CCN2)c1
BAVSGDZAGDONMG-UHFFFAOYSA-N,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)COCC1(F)F
BBTMSQSMAGSWCB-UHFFFAOYSA-N,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)COCC(N)=N1
BDQCTBNJTNSECC-UHFFFAOYSA-N,COCCCOc1cc(CC(CC(N)C(O)CC(C)C(=O)NCCCS(=O)(=O)C(C)(C)C)C(C)C)ccc1OC
BFPPEQNMYUIWBA-UHFFFAOYSA-N,CCn1cc2c3c(cc(C(=O)NC(Cc4ccccc4)C(O)CNCCC(F)(F)F)cc31)N(C)S(=O)(=O)CC2
BGOKTPFTFAGFJJ-UHFFFAOYSA-N,COC(=O)CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
BGQTXDXVVKCELD-UHFFFAOYSA-N,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(CCc1csc(N)n1)NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1
BHIWBSNWEZIHHL-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1OC1OC(COP(=O)(O)O)C(O)C1O
BIJGCEOIVVAQBS-UHFFFAOYSA-N,CC#Cc1cncc(-c2cc(C3(C)CC(=O)N(C)C(N)=N3)c(Cl)s2)c1
BIXULWMVWDYEGF-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(C)NC(=O)CC(O)C(COCc1ccc(-c2ccsc2)cc1)NC(=O)C(NC(=O)c1ccccn1)C(C)C)C(N)=O
BJANBLOVCAEXPY-UHFFFAOYSA-N,CSCC(NC(=O)Cc1ccccc1O)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
BJOCXJJVELLFKM-UHFFFAOYSA-N,CC(C)CC(NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(O)CC(C)C(=O)NC(C(=O)NC(C)C)C(C)C
BKRGZLNTVJYOPW-UHFFFAOYSA-N,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)N1CCOCC1
BLKHGZANZRGYRY-UHFFFAOYSA-N,CCCCNC(=O)CC(O)C(Cc1ccccc1)NC(=O)C(NC(=O)c1ccc(OC)cc1OC)C(C)CC
BLWNAMGVEGTJBM-UHFFFAOYSA-N,CC(C)(C)Cc1cnc2c(c1)C(NCC(O)C1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2
BNJKPFMWJCPMKT-UHFFFAOYSA-N,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCc1ccccn1
BNRNXUUZRGQAQC-UHFFFAOYSA-N,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
BPHRVQBJSVSOCT-UHFFFAOYSA-N,COCCCOc1cc(CC(CC(N)C(O)CC(C)C(=O)NCCCC(=O)NCCOC)C(C)C)ccc1OC
BQDUISPSAOQZDJ-UHFFFAOYSA-N,COC1CCC2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1
BQQOAUJVYWQLRX-UHFFFAOYSA-N,C#CCOC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
BRGMHAYQAZFZDJ-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O
BTIJHFYMINAIMJ-UHFFFAOYSA-N,CCCCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1
BUCXGTGXIGORNK-UHFFFAOYSA-N,CSCC(NC(=O)Cc1ccccc1C)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
BUGYDGFZZOZRHP-UHFFFAOYSA-N,CC12CC3CC(C)(C1)CC(N)(C3)C2
BVPCJACDNLTJEX-UHFFFAOYSA-N,O=C(NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1
BVXFMIRBKJJPOW-UHFFFAOYSA-N,CC(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(CC1CCCCC1)C(O)CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(N)=O)C(C)C
BWGUXMJYTMZOIK-UHFFFAOYSA-N,CCCCOP(=O)(O)OCC1OC(O)C(F)C1O
BXMSMHWFQQRFMZ-UHFFFAOYSA-N,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1Oc1ccc(-c3cccnc3)cc12
BXUWRSJLPOCKMA-UHFFFAOYSA-N,CC(NC(=O)c1cc(C(=O)NC(COc2cc(F)cc(F)c2)C(O)CC(OCC2CC2)C(=O)NC(C(=O)NCc2ccccc2)C(C)C)cc(N(C)S(C)(=O)=O)c1)c1ccccc1
BZHMBWZPUJHVEE-UHFFFAOYSA-N,CC(C)CC(C)C
BZNXXEYJZYAXCN-UHFFFAOYSA-N,CCC(C)C(NC(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C(C)NCC(=O)C(CCCN=C(N)N)NC(=O)C1CCCN1C(=O)C(N)CC1CCCCC1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC1CCCCC1)C(N)=O
BZQFBWGGLXLEPQ-UHFFFAOYSA-N,NC(COP(=O)(O)O)C(=O)O
BZWOXVWMNGPFPN-UHFFFAOYSA-N,CC(C)(C)Cc1cnc2c(c1)C(NCC(O)C1Cc3cccc(c3)CCCCCCC(=O)N1)CC1(CCC1)O2
CATNTJQWQKGLJS-UHFFFAOYSA-N,CC(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
CAUWDHKNTABOGL-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)CCc1ccccc1)C(C)C)C(O)CC(=O)NC(Cc1ccccc1)C(N)=O
CBPNZQVSJQDFBE-UHFFFAOYSA-N,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OC(=O)C(C)(CO)CO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CCINVPALEJCQHQ-UHFFFAOYSA-N,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCCc1ccccn1
CCRMGTSJDCJISE-UHFFFAOYSA-N,Cc1cc(F)cc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
CDISWMCLLRNTSQ-UHFFFAOYSA-N,CCC(C)C(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(C)=O)C(N)=O
CDNCNEWZGVRQRT-UHFFFAOYSA-N,CC1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)CCOC(N)=N1
CDQOVMFJRXQYFK-UHFFFAOYSA-N,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCC(C)SCC
CERJQPWNRISSQS-UHFFFAOYSA-N,N#CCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1
CEXXKSSFAKABEN-UHFFFAOYSA-N,O=C(NCCS)C1CN(Cc2ccc(F)cc2)CCN1
CFIWWTUUSMMDDA-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(O)CC(C)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C
CFRMVYLVKVUAHT-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)N(C)C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)OC(C)(C)C)C(C)C)C(=O)NC(CO)(CO)CO
CGFNKFZCIRBOAD-UHFFFAOYSA-N,CC1(c2nc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OCC1(F)F
CJVKWQTVDIZBSG-UHFFFAOYSA-N,Cc1ccc(OCC(=O)NC(Cc2ccccc2)C(O)C(=O)N2CSC(C)(C)C2C(=O)NC2c3ccccc3CC2O)cc1
CKFXGFBSWGOGRU-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C
