InChIKey,SMILES
DWKGLYKXNUIYDM-UHFFFAOYSA-N,CCOc1ccc(C(=O)Nc2ccc(F)c(C3(C)N=C(N)OCC3(F)F)c2)nc1
DWONJCNDULPHLV-UHFFFAOYSA-N,OCC(Cc1cccc(O)c1)C(CO)Cc1cccc(O)c1
DYBGOWFLTWBIJD-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(C)NC(=O)CC(O)C(Cc1ccccc1)NC(=O)C(NC(=O)c1ccccn1)C(C)C)C(N)=O
DYSVHEIIYHZJGH-UHFFFAOYSA-N,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCNC(=O)c4cc(O)c5c(c4)C(=O)c4cccc(O)c4C5=O)c3C(C1)C2
DZGWFCGJZKJUFP-UHFFFAOYSA-N,NCCc1ccc(O)cc1
DZSFYDAIURXYOI-UHFFFAOYSA-N,CCCCC(O)C(C)CC(O)C(CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C
FAXGPCHRFPCXOO-UHFFFAOYSA-N,CC(C)CC(=O)NC(C(=O)NC(C(=O)NC(CC(C)C)C(O)CC(=O)NC(C)C(=O)NC(CC(C)C)C(O)CC(=O)O)C(C)C)C(C)C
FBJQDUYQPYABBR-UHFFFAOYSA-N,CC(=O)NC(Cc1ccc(F)cc1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
FBJQEBRMDXPWNX-UHFFFAOYSA-N,OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
FBOZXECLQNJBKD-UHFFFAOYSA-N,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
FBPFZTCFMRRESA-UHFFFAOYSA-N,OCC(O)C(O)C(O)C(O)CO
FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(=O)O
FBWADIKARMIWNM-UHFFFAOYSA-N,O=C1C=CC(=Nc2cc(Cl)c(O)c(Cl)c2)C=C1
FBWNMEQMRUMQSO-UHFFFAOYSA-N,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
FCXGXFYPZHSKTG-UHFFFAOYSA-N,CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(C)c1ccc2ccccc2c1
FDETZHYAYLHPRH-UHFFFAOYSA-N,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)OC(C)C
FDGQSTZJBFJUBT-UHFFFAOYSA-N,Oc1ncnc2[nH]cnc12
FEFUCXDVRGVBHX-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(C)NC(=O)CC(O)C(COCc1cccc(Br)c1)NC(=O)C(NC(=O)c1ccccn1)C(C)C)C(N)=O
FEJYRCRZYXAOJX-UHFFFAOYSA-N,CCN(CC)CCN(CC)c1cc(C)c(OCC(=O)NC(Cc2ccccc2)C(O)C(=O)N2CSC(C)(C)C2C(=O)NC2c3ccccc3CC2O)c(C)c1
FEPCKGBXHTYWKL-UHFFFAOYSA-N,CCCCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1
FEWJPZIEWOKRBE-UHFFFAOYSA-L,O=C([O-])C(O)C(O)C(=O)[O-]
FEWJPZIEWOKRBE-UHFFFAOYSA-N,O=C(O)C(O)C(O)C(=O)O
FFSZNPGAUXCRFJ-UHFFFAOYSA-N,CCOc1c(I)cc(Cl)cc1CNCCCNC(=O)Nc1ccsc1
FHFHNVHRVKQQHN-UHFFFAOYSA-N,Cc1cc(O)c2c(c1O)C(=O)c1cccc(O)c1C2=O
FHIOVECNBCMMAE-UHFFFAOYSA-N,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)SCC1(F)F
FJYALDRNDKNYKU-UHFFFAOYSA-N,CCCC(CCC)S(=O)(=O)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CNCc1cccc(OC)c1
FLNASPMZRNYEQE-UHFFFAOYSA-N,CCn1cc(C2(c3cccc(-c4cncc(F)c4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O
FMERUWXQZUKUAL-UHFFFAOYSA-N,C=CCCCC(=O)NC(Cc1cccc(CC=C)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
FMYKJLXRRQTBOR-UHFFFAOYSA-N,CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(C)=O
FOEYBHHGUJYFBZ-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(NC(=O)C(N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NC(Cc1ccccc1)C(O)C(=O)Nc1cccc(C(=O)O)c1
FORMHTPKYXAYSB-UHFFFAOYSA-N,CC(C)SC(NC(=O)C(CC(O)C1COCc2cccc(c2)C(c2ccccc2)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C)C(=O)NCc1ccccc1
FOXHTNDMZGBSAX-UHFFFAOYSA-N,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(C(=O)C(F)(F)C(=O)NCCN1CCOCC1)C1CCCCC1
FQNMTDWTQKFWEO-UHFFFAOYSA-N,CC#Cc1cncc(-c2ccc3c(c2)C2(C=C(F)C(N)=N2)C2(CCC(OC)CC2)C3)c1
FSGCSGPTSJSHHI-UHFFFAOYSA-N,CCC(C)CNC(=O)CC(O)C(CC(C)C)NC(=O)C(CCCCNC(=S)NC)NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12
FSQSHDXWJKXBPP-UHFFFAOYSA-N,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2cccc(I)c2)c1
FSYKBAWAYYELHH-UHFFFAOYSA-N,CCCc1cc(=O)nc(N)[nH]1
FULZLIGZKMKICU-UHFFFAOYSA-N,N=C(S)Nc1ccccc1
FWIQAIRGJDJIAV-UHFFFAOYSA-N,CSCCC(NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)C(=O)NC(COCc1cc(F)cc(F)c1)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C
FWQPAHHKYLASJX-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(NC(=O)C(N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NC(Cc1ccccc1)C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1
FWWFONGGISSNJV-UHFFFAOYSA-N,Cn1cc(Br)cc1C(=O)Nc1n[nH]c2c1CN(C(=O)NC(CN1CCCC1)c1ccccc1)C21CC1
FXDNYOANAXWZHG-UHFFFAOYSA-N,NC(CCOP(=O)(O)O)C(=O)O
FXYJEKVEPVJLQA-UHFFFAOYSA-N,COCCCOc1cc(CC(CC(N)C(O)CC(C)C(=O)NCCNC(C)=O)C(C)C)ccc1OC
FYGDTMLNYKFZSV-UHFFFAOYSA-N,OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
FZTXBRKPIRTQCY-UHFFFAOYSA-N,CC(C)CNC(=O)C(C)NCC(Cc1ccccc1)NC(=O)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1
FZXRAACZARFACA-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C1Cc2cn(cn2)CC(=O)N2CCCC2C(=O)NC(Cc2ccccc2)C(=O)N1)C(C)C)C(=O)NCc1ccccn1
GAAKALASJNGQKD-UHFFFAOYSA-N,Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1
GAQKDGUJLINCJE-UHFFFAOYSA-N,COCCCNC(=O)C(C)CC(O)C(N)CC(Cc1ccc(OC)c(OCCCOC)c1)C(C)C
GBABOYUKABKIAF-UHFFFAOYSA-N,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2
GBJVAVGBSGRRKN-UHFFFAOYSA-N,COC(=O)CCC(NC(=O)C(CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)NC(C(=O)NC(CC(=O)OC)C(=O)CF)C(C)C
GCMNJUJAKQGROZ-UHFFFAOYSA-N,Nc1ccc2ccccc2n1
GCZHKZTYTMTFGU-UHFFFAOYSA-N,COCc1cc2cc(c1)C(=O)NC(C(O)CNC1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2
GDHXZIQAOUBZCC-UHFFFAOYSA-N,O=C(NCCC(c1ccccc1)c1ccccc1)c1cccnc1
GDWNAJGFHLZQOE-UHFFFAOYSA-N,COC(=O)CC(O)C(CC(C)C)NC(=O)C(C)NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C
GECFWRLWUREZAB-UHFFFAOYSA-N,C=CCOC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
GELLBVGZLHOKSY-UHFFFAOYSA-N,CCCCCCOC(=O)C(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
GGDJHNWKACMLOC-UHFFFAOYSA-N,CCCC1(C)CC(NCC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)c2cc(CC(C)(C)C)ccc2O1
GGKXIITZBSPCQP-UHFFFAOYSA-N,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C
GGUNSWZCUSEKTM-UHFFFAOYSA-N,CC(=O)NC(Cc1cn(C=O)c2ccccc12)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(C)C)C(O)CC(C(N)=O)C(C)C
GHQQZCMHUTUMJU-UHFFFAOYSA-N,Cc1nc(COC(=O)NC(CS(C)(=O)=O)C(=O)NC(CC(C)C)C(O)CC(C)C(=O)NC(C(=O)NC(C)(C)C)C(C)C)c(C)o1
GIKNHHRFLCDOEU-UHFFFAOYSA-N,CC(N)Cc1ccc(O)cc1
GJELDNIHACXHGF-UHFFFAOYSA-N,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(C)(OC(=O)C(C)(C)C)c1ccccc1)C(C)C
GJESXLGDWNCUSK-UHFFFAOYSA-N,COc1ccc(CC(=O)NC(CSC)C(=O)NC(Cc2ccccc2)C(O)C(=O)N2CSC(C)(C)C2C(=O)NC2c3ccccc3CC2O)cc1
GJXWDTUCERCKIX-UHFFFAOYSA-N,O=CN(O)CCCP(=O)(O)O
GKAPYWCOOQBBHV-UHFFFAOYSA-N,Nc1nc(=O)c2ncn(C3OC(CO)C4OC(P(=O)(O)O)OC43)c2[nH]1
GKDKOMAJZATYAY-UHFFFAOYSA-N,O=P(O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1OP(=O)(O)O
GKJKDBJJJCYMPS-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)COc1ccccc1)C(C)C)C(=O)N(C)c1ccccn1
GQUBJSPCTRAWQA-UHFFFAOYSA-N,CCOC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
GRFOHUBBUMAJMM-UHFFFAOYSA-N,CN(C(=O)CCc1cc2ccccc2nc1N)C1CCCCC1
GRURNVFMMQASQN-UHFFFAOYSA-N,CCCCCOc1cc(CC(CC(N)C(O)CC(C)C(=O)NCCCC)C(C)C)ccc1OC
GSNQLUPJBZVXTJ-UHFFFAOYSA-N,C#Cc1ccc(F)c(CC(NC(=O)COC)C(O)CNC2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1
GSYSEQUYQXPNHH-UHFFFAOYSA-N,CC(C)OC(=O)C(O)C(N)CC1CCCCC1
GTUQEIQBOYMZGW-UHFFFAOYSA-N,CCCCS(=O)(=O)CC(NC(=O)c1cnccn1)C(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNCc1cccc(CC)c1
GVJHHUAWPYXKBD-UHFFFAOYSA-N,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
GWYFCOCPABKNJV-UHFFFAOYSA-N,CC(C)CC(=O)O
GXUIHUMZWSTGCD-UHFFFAOYSA-N,CC(=O)NC(Cc1cn(C=O)c2ccccc12)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(C)C)C(O)CC(=O)NC(C(N)=O)C(C)C
GXVPEBUAPYPATI-UHFFFAOYSA-N,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(CCCC)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C
GYSJYLOSQXEEFS-UHFFFAOYSA-N,CCOC(CC(O)C(COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NC(C(=O)NCc1ccccc1)C(C)C
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(O)=Nc2ccccc2)SCCO1
GZHSLBYVXGDJDF-UHFFFAOYSA-N,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCc3ccccc3)CN2)c1
GZIFEOYASATJEH-UHFFFAOYSA-N,Cc1cc(O)cc2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2
GZLJWPHAIJJFOD-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)N(C)C(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccccn1
HBTCIJNHNMLBFP-UHFFFAOYSA-N,Cc1cc(NCc2cccnc2)cc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
HBTPJQPPELSJKJ-UHFFFAOYSA-N,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CSC(C)(C)C)Cc1ccccc1)C(C)C
HCMBCMVOCRJSME-UHFFFAOYSA-N,NC(CCC(=O)NCS(=O)(=O)O)C(=O)O
HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)Cc1ccc(C(C)C(=O)O)cc1
HFEKDTCAMMOLQP-UHFFFAOYSA-N,O=c1[nH]c(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1F
HFNUOOUZQYGIIA-UHFFFAOYSA-N,CCC(CC)C(=O)NC(C(=O)NC(CC(C)C)C(O)CC(=O)NC(C)C(=O)NCCC(C)C)C(C)C
HFTLZNIOMKKSLJ-UHFFFAOYSA-N,Cc1cc(C(=O)NCc2cc(Cl)ccc2-n2cnnn2)cc(N(C2CCCC2)S(C)(=O)=O)c1
HGLQSTHVRKGLQP-UHFFFAOYSA-N,CC(CNS(=O)(=O)C(C)C)c1ccc(-c2ccc(C(C)CNS(=O)(=O)C(C)C)cc2)cc1
HHDDCCUIIUWNGJ-UHFFFAOYSA-N,O=C(O)C(=O)CO
HIQWWDCRULXYDF-UHFFFAOYSA-N,COc1cccc(CNCC(O)C(Cc2ccccc2)NC(=O)c2cc(C(=O)NC(C)c3ccccc3)cc(N(C)S(C)(=O)=O)c2)c1
HJWMLCDGRWWLAQ-UHFFFAOYSA-N,CC(C)(C)c1cc(NC(O)=Nc2cccc3ccccc23)n(-c2cccc(N)c2)n1
HJYYPODYNSCCOU-UHFFFAOYSA-N,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
HLVVITIHAZBPKB-UHFFFAOYSA-N,Nc1c2c(nc3ccccc13)CCCC2O
HMFKFHLTUCJZJO-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO
HMQPEDMEOBLSQB-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(CO)C(O)C(O)C1O
HMWSVKCISNXDGB-UHFFFAOYSA-N,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(N)=O
HMXHURAGFHWODC-UHFFFAOYSA-N,CCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
HMXUWQWZWZLSAO-UHFFFAOYSA-N,CCCCNC(=O)C(C)CC(O)C(N)CC(Cc1ccc(OC)c(OCCCOC)c1)C(C)C
HNWIZDPHFDXSOR-UHFFFAOYSA-N,CC(C)C(NC(=O)C(N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(=O)NC(CC1CCCCC1)C(=O)NC(Cc1ccccc1)C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1
HORHMTMHXZJNQJ-UHFFFAOYSA-N,CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(N)N(C)C3=O)c2)c1
HQRXSCRNSOFDNU-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(CS(C)(=O)=O)NC(=O)C(NC(=O)OC(C)(C)C)C(C)C)C(O)CC(C)C(=O)NC(C(=O)NCc1ccccc1)C(C)C
HQWUNRFDHMRGJE-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C)C(=O)NCc1cnc(C)nc1N
HTOLWQNKVYAHLB-UHFFFAOYSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(NCc2ccc(CNC3CC(OC4CC(O)(C(C)=O)Cc5c(O)c6c(c(O)c54)C(=O)c4c(OC)cccc4C6=O)OC(C)C3O)cc2)C(O)C(C)O1
HTTJABKRGRZYRN-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O
HVDGDHBAMCBBLR-UHFFFAOYSA-N,O=C1OCC(Cc2cccc(O)c2)C1Cc1cccc(O)c1
HVMGGHDPXHODHE-UHFFFAOYSA-N,Cc1ccc(C)c(OCC(O)CN2CCOCC2)c1
HVUWIXKTJXRPID-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)N(C)C(=O)C(Cc1ccccc1)NC(=O)CC(C)(C)N)C(C)C)C(=O)NCc1ccccn1
HVXRCOUKAWTMKX-UHFFFAOYSA-N,Cc1nc(CNC(=O)c2cc(C(=O)NC(CC(C)C)C(O)CC(C)C(=O)NC(C(=O)NC(C)C)C(C)C)cc(N(C)S(C)(=O)=O)c2)c(C)o1
HVYWMOMLDIMFJA-UHFFFAOYSA-N,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
HWLAFZXKYIUVHI-UHFFFAOYSA-N,CCCS(=O)(=O)N(C)c1cc2cc(c1)C(=O)NC(C(O)CNCc1cccc(C(C)C)c1)Cc1cccc(c1)OCCCCN2
HWLANCVZPRATJR-UHFFFAOYSA-N,CC(NC(=O)C(NC(=O)C(N)Cc1ccc(O)cc1)C(C)C)C(=O)NC(C=O)CC(=O)O
HXXFSFRBOHSIMQ-UHFFFAOYSA-N,O=P(O)(O)OC1OC(CO)C(O)C(O)C1O
HYAFETHFCAUJAY-UHFFFAOYSA-N,CCc1ccc(CCOc2ccc(CC3SC(=O)N=C3O)cc2)nc1
HZHLNASPNLYDJK-UHFFFAOYSA-N,CC(C)C(CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)NC(=O)OCCN1CCOCC1
IBLLBXKYLXOGGR-UHFFFAOYSA-N,CCCCNC(=O)C(CC(O)C(CC1CCCCC1)NC(=O)C(CCCC)NC(=O)C(Cc1ccccc1)NC(C)=O)C(C)C
ICOVQVRWYNMTQP-UHFFFAOYSA-N,CCC(NC(=O)C(NC(=O)CC(O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(OC(=O)C(OC(=O)C(C(C)C)N(C)C)C(C)C)C(C)C)C(C)O)C(=O)N(C)C(Cc1ccccc1)C(=O)N1CCCC1C(=O)OC
IEAWASLYDSYMSP-UHFFFAOYSA-N,CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5CCC(Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)c1=O
IEIHXPJWOSDLBU-UHFFFAOYSA-N,COC(CC(O)C(COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NC(C(=O)NCc1ccccc1)C(C)C
IEOXTIHUYRYEJG-UHFFFAOYSA-N,Cc1cc(NCc2ccccn2)cc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
IERHLVCPSMICTF-UHFFFAOYSA-N,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1
IEWAGORIVPFRDB-UHFFFAOYSA-N,COC(=O)C(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
IFUYBWIZKMAADM-UHFFFAOYSA-N,CC(C)(C)C#Cc1ccccc1-c1ccc2nc(N)ccc2c1
IHFKWYKWTIZOCX-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)N(C)C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)NC1C(O)OC(CO)C(O)C1O)C(C)C)C(=O)NCc1ccccn1
IIBYAHWJQTYFKB-UHFFFAOYSA-N,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
IJOKPTZPLSVFMX-UHFFFAOYSA-N,COc1ccccc1CC(=O)NC(CSC)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
IJYPXSRDUPWKPB-UHFFFAOYSA-N,CC#Cc1cncc(-c2cc(Cl)c(C3(C)CC(=O)N(C)C(N)=N3)s2)c1
IKFZEHQGULJMKI-UHFFFAOYSA-N,CC#Cc1cncc(-c2csc(C3(C)CC(=O)N(C)C(N)=N3)c2)c1
IKQAPARFDOBBMW-UHFFFAOYSA-N,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)C(Cc1csc(N)n1)NC(=O)C(Cc1ccccc1)NP(=O)(OC(C)C)OC(C)C
ILRYLPWNYFXEMH-UHFFFAOYSA-N,NC(CCSCC(N)C(=O)O)C(=O)O
IMNAYTZSJCRZIO-UHFFFAOYSA-N,CC(NC(=O)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNCCC2CCN(Cc3ccccc3)CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1
INHMXSSOQVTRFA-UHFFFAOYSA-N,CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCOCC(N)=N1
IOHHQCLTBSFSAT-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(NC(=O)C(N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NC(Cc1ccccc1)C(O)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1
IQZZFVDIZRWADY-UHFFFAOYSA-N,O=c1occc2ccccc12
ISAKRJDGNUQOIC-UHFFFAOYSA-N,Oc1ccnc(O)n1
ISZWRZGKEWQACU-UHFFFAOYSA-N,O=c1cc(-c2cccc(O)c2)oc2ccccc12
ITZOKHKOFJOBFS-UHFFFAOYSA-N,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
IUGYQRQAERSCNH-UHFFFAOYSA-N,CC(C)(C)C(=O)O
IUSARDYWEPUTPN-UHFFFAOYSA-N,COC(C)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
IWBWMEKXFWHGKV-UHFFFAOYSA-N,CC(C)(O)c1cccc(CNC2CS(=O)(=O)CC(Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)c1
IWMCULWPLNDDNK-UHFFFAOYSA-N,COc1cc(Cl)cc(CN2CCC(NC(=O)COc3ccc(S(N)(=O)=O)cc3C)CC2)c1OC(C)C
IXHBTMCLRNMKHZ-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O
IZETWNQXMIHLNU-UHFFFAOYSA-N,Cc1cc(N(C)CCN(C)C)cc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
IZRPKIZLIFYYKR-UHFFFAOYSA-N,CN(C)CCOc1ccccc1Cc1ccccc1
IZYXMVKELAEHKP-UHFFFAOYSA-N,COCCCOc1cc(CC(CC(N)C(O)CC(C)C(=O)NCCCCC(N)=O)C(C)C)ccc1OC
JAJQQUQHMLWDFB-UHFFFAOYSA-N,NC(Cc1ccccc1)C(O)CC(=O)O
JBBUENLSUWMDMI-UHFFFAOYSA-N,COCC(=O)NC(Cc1cc(F)cc(-c2nccs2)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
JBOWUKRDBGMOJZ-UHFFFAOYSA-N,Cc1ccccc1-c1ccc2nc(N)c(CCC(=O)NC3CCCCC3)cc2c1
JCNFYXCBSRPSLY-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C)C(O)CC(C)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O
JCWKMXKBFBTZOR-UHFFFAOYSA-N,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c(F)cc(-c3ccnc(F)c3)cc12
JDSHMPZPIAZGSV-UHFFFAOYSA-N,Nc1nc(N)nc(N)n1
