rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01886,绞股蓝,0.9587539395607307,247.0,247.0,227.0,227.0
2,CHP01580,华东膜蕨,0.9407877257459376,25.0,25.0,25.0,25.0
3,CHP04174,通草,0.9388988332678769,24.0,24.0,24.0,24.0
4,CHP00746,滇茜草,0.9361117814904344,31.0,31.0,29.0,29.0
5,CHP01245,骨碎补,0.93066763215123,37.0,37.0,35.0,35.0
6,CHP03649,蛇菰,0.9285362896933728,19.0,19.0,19.0,19.0
7,CHP04359,乌药,0.92827769865889,19.0,19.0,19.0,19.0
8,CHP03682,升麻,0.9252618797299154,134.0,134.0,113.0,113.0
9,CHP05380,泽泻,0.924083021503171,24.0,24.0,23.0,23.0
10,CHP02748,没药,0.9232603035385641,291.0,291.0,251.0,248.0
11,CHP01110,附子,0.9215847455066793,81.0,81.0,70.0,69.0
12,CHP00824,冬凌草,0.9201613639684635,50.0,50.0,45.0,45.0
13,CHP03683,生姜,0.9170098746012686,75.0,75.0,66.0,65.0
14,CHP03319,人参,0.9147728341384624,128.0,128.0,108.0,107.0
15,CHP03398,三七花,0.9146764756208181,24.0,24.0,22.0,22.0
16,CHP04717,小通草,0.9136116342128254,14.0,14.0,14.0,14.0
17,CHP02585,马钱子,0.9135804577777105,39.0,39.0,35.0,35.0
18,CHP00720,地榆,0.9135397980105507,95.0,95.0,80.0,80.0
19,CHP03148,铺地蜈蚣,0.9132339333794922,14.0,14.0,14.0,14.0
20,CHP02547,麻黄根,0.9120930161647681,21.0,21.0,20.0,20.0
21,CHP05124,夜来香,0.9119499244854745,17.0,17.0,16.0,16.0
22,CHP04519,夏枯草,0.9117225788214488,23.0,23.0,20.0,20.0
23,CHP06090,茯苓,0.9112035690276953,30.0,30.0,27.0,27.0
24,CHP03673,肾茶,0.910977892192103,27.0,27.0,25.0,25.0
25,CHP00229,北沙参,0.910599375487894,105.0,105.0,88.0,88.0
26,CHP00356,车前子,0.9100172204059194,42.0,42.0,35.0,35.0
27,CHP01130,甘遂,0.9086266139877783,63.0,63.0,51.0,51.0
28,CHP02017,桔梗,0.9059535559734663,99.0,99.0,79.0,79.0
29,CHP05066,野茉莉,0.9057986545958095,12.0,12.0,12.0,12.0
30,CHP00939,多伞阿魏,0.9057850305049006,12.0,12.0,12.0,12.0
31,CHP04216,土贝母,0.9052015165031708,24.0,24.0,22.0,22.0
32,CHP04975,羊踯躅,0.9036906440443124,15.0,15.0,14.0,14.0
33,CHP03111,平贝母,0.9025081626796415,24.0,24.0,22.0,22.0
34,CHP03591,山药,0.9013679971745089,25.0,25.0,22.0,22.0
35,CHP04458,西洋参,0.9006701391713189,49.0,49.0,42.0,42.0
36,CHP03024,牛膝,0.899897562611092,162.0,162.0,131.0,131.0
37,CHP00928,多花蒿,0.8963785200553905,10.0,10.0,10.0,10.0
38,CHP02472,路路通,0.8963785050553905,10.0,10.0,10.0,10.0
39,CHP04818,续断,0.8961342857112881,97.0,97.0,76.0,76.0
40,CHP02416,龙须藤,0.8933252055554689,28.0,28.0,25.0,25.0
41,CHP04231,土槿皮,0.8932774849519483,71.0,71.0,57.0,57.0
42,CHP00281,菠菜,0.8924749597131552,21.0,21.0,18.0,18.0
43,CHP02777,蒙自草胡椒,0.8909186732162007,9.0,9.0,9.0,9.0
44,CHP03328,忍冬藤,0.8907717092733773,16.0,16.0,14.0,14.0
45,CHP03352,乳香,0.8879861748403198,77.0,77.0,63.0,62.0
46,CHP00617,丹参,0.8871217588902359,235.0,235.0,183.0,176.0
47,CHP03192,牵牛子,0.8860148141042411,39.0,39.0,31.0,31.0
48,CHP01246,瓜蒌,0.8859768320110782,90.0,90.0,68.0,65.0
49,CHP03884,水茄,0.8859699133743634,17.0,17.0,14.0,14.0
50,CHP05477,知母,0.8849206106050277,91.0,91.0,72.0,72.0
51,CHP01076,凤眼草,0.8848650222837673,8.0,8.0,8.0,8.0
52,CHP01596,华千金藤,0.8847705428393229,8.0,8.0,8.0,8.0
53,CHP02405,龙葵,0.8841006321708894,55.0,55.0,39.0,39.0
54,CHP03585,山香,0.883201865959446,12.0,12.0,11.0,11.0
55,CHP02803,密蒙花,0.8827888824690626,35.0,35.0,28.0,28.0
56,CHP03341,肉苁蓉,0.8826914265014569,64.0,64.0,51.0,49.0
57,CHP01964,金樱子,0.8820363665655967,45.0,45.0,35.0,35.0
58,CHP04828,旋覆花,0.8818782734502054,28.0,28.0,23.0,22.0
59,CHP05159,益智,0.8800964027776278,12.0,12.0,11.0,11.0
60,CHP01957,金叶子,0.8797899015553906,10.0,10.0,9.0,9.0
61,CHP04409,五气朝阳草,0.8791542811109374,9.0,9.0,8.0,8.0
