rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1625,CHP05337,云南榧树,0.0,3.0,3.0,0.0,0.0
1626,CHP00318,草胡椒,0.0,1.0,1.0,0.0,0.0
1627,CHP00330,茶花,0.0,3.0,3.0,0.0,0.0
1628,CHP01302,广西九里香,0.0,6.0,6.0,0.0,0.0
1629,CHP04110,田旋花,0.0,1.0,1.0,0.0,0.0
1630,CHP01520,胡麻仁,0.0,1.0,1.0,0.0,0.0
1631,CHP01499,红直獐牙菜,0.0,1.0,1.0,0.0,0.0
1632,CHP01563,花椒簕,0.0,1.0,1.0,0.0,0.0
1633,CHP03921,水杨枝叶,0.0,1.0,1.0,0.0,0.0
1634,CHP04000,酸模,0.0,2.0,2.0,0.0,0.0
1635,CHP03970,松叶,0.0,4.0,4.0,0.0,0.0
1636,CHP00413,川滇淫羊藿,0.0,8.0,8.0,0.0,0.0
1637,CHP04059,桃根,0.0,1.0,1.0,0.0,0.0
1638,CHP03243,青皮,0.0,2.0,2.0,0.0,0.0
1639,CHP02120,苦楝实,0.0,3.0,3.0,0.0,0.0
1640,CHP01918,金锦香,0.0,1.0,1.0,0.0,0.0
1641,CHP01941,金丝梅,0.0,1.0,1.0,0.0,0.0
1642,CHP01909,金冠鳞毛蕨,0.0,1.0,1.0,0.0,0.0
1643,CHP03401,三色堇,0.0,1.0,1.0,0.0,0.0
1644,CHP03425,桑根,0.0,2.0,2.0,0.0,0.0
1645,CHP01888,接骨丹,0.0,1.0,1.0,0.0,0.0
1646,CHP00265,扁竹根,0.0,1.0,1.0,0.0,0.0
1647,CHP00239,荜茇根,0.0,3.0,3.0,0.0,0.0
1648,CHP05470,枕材,0.0,2.0,2.0,0.0,0.0
1649,CHP03365,瑞香花,0.0,2.0,2.0,0.0,0.0
1650,CHP05465,珍珠梅,0.0,2.0,2.0,0.0,0.0
1651,CHP05379,泽藓,0.0,1.0,1.0,0.0,0.0
1652,CHP05408,樟脑,0.0,1.0,1.0,0.0,0.0
1653,CHP05463,珍珠菜,0.0,2.0,2.0,0.0,0.0
1654,CHP05495,枳椇根,0.0,1.0,1.0,0.0,0.0
1655,CHP00289,补血草,0.0,1.0,1.0,0.0,0.0
1656,CHP00286,博落回,0.0,3.0,3.0,0.0,0.0
1657,CHP00285,伯乐树,0.0,1.0,1.0,0.0,0.0
1658,CHP03184,千年艾,0.0,1.0,1.0,0.0,0.0
1659,CHP00276,柄果槲寄生,0.0,1.0,1.0,0.0,0.0
1660,CHP03107,偏翅唐松草,0.0,3.0,3.0,0.0,0.0
1661,CHP05555,猪殃殃,0.0,2.0,2.0,0.0,0.0
1662,CHP03015,牛舌头,0.0,1.0,1.0,0.0,0.0
1663,CHP03105,辟汗草,0.0,1.0,1.0,0.0,0.0
1664,CHP02026,橘白,0.0,1.0,1.0,0.0,0.0
1665,CHP03299,驱虫斑鸠菊,0.0,1.0,1.0,0.0,0.0
1666,CHP02034,橘叶巴戟,0.0,2.0,2.0,0.0,0.0
1667,CHP02293,栗树皮,0.0,2.0,2.0,0.0,0.0
1668,CHP02306,莲蓬草,0.0,3.0,3.0,0.0,0.0
1669,CHP02000,九里香根,0.0,2.0,2.0,0.0,0.0
1670,CHP02515,骆驼蓬子,0.0,2.0,2.0,0.0,0.0
1671,CHP02470,路边姜,0.0,5.0,5.0,0.0,0.0
1672,CHP02456,陆地棉,0.0,3.0,3.0,0.0,0.0
1673,CHP02182,兰花,0.0,3.0,3.0,0.0,0.0
1674,CHP05610,姊妹树,0.0,1.0,1.0,0.0,0.0
1675,CHP00149,白土茯苓,0.0,1.0,1.0,0.0,0.0
1676,CHP02397,龙船花,0.0,11.0,11.0,0.0,0.0
1677,CHP02525,驴蹄草,0.0,1.0,1.0,0.0,0.0
1678,CHP02946,南天竹梗,0.0,1.0,1.0,0.0,0.0
1679,CHP02918,南板蓝根,0.0,4.0,4.0,1.0,0.0
1680,CHP02971,柠檬根,0.0,2.0,2.0,0.0,0.0
1681,CHP02982,牛蒡,0.0,12.0,12.0,0.0,0.0
1682,CHP02815,棉花,0.0,1.0,1.0,0.0,0.0
1683,CHP02582,马蔺子,0.0,3.0,3.0,0.0,0.0
