rank,CHP_ID,Chinese_herbal_pieces,max_score,total_compounds,effective_count,high_quality_count,ultra_high_count
710,CHP02304,莲房,1.0,5.0,5.0,5.0,5.0
711,CHP02305,莲花,1.0,17.0,17.0,6.0,5.0
712,CHP02308,莲生桂子花,1.0,11.0,11.0,6.0,6.0
713,CHP02313,莲子草,1.0,8.0,8.0,4.0,4.0
714,CHP02314,莲子心,1.0,11.0,11.0,7.0,7.0
715,CHP02272,藜芦,1.0,38.0,38.0,23.0,22.0
716,CHP02279,荔枝核,1.0,19.0,19.0,10.0,10.0
717,CHP02282,荔枝叶,1.0,6.0,6.0,5.0,5.0
718,CHP02297,连钱草,1.0,61.0,61.0,36.0,36.0
719,CHP02219,莨菪叶,1.0,38.0,38.0,25.0,24.0
720,CHP02222,老鹳草,1.0,22.0,22.0,12.0,12.0
721,CHP02239,老鼠瓜,1.0,5.0,5.0,2.0,2.0
722,CHP02240,老鼠簕,1.0,20.0,20.0,12.0,12.0
723,CHP02244,老鸦柿,1.0,6.0,6.0,3.0,3.0
724,CHP02250,了哥王根,1.0,7.0,7.0,6.0,6.0
725,CHP02254,雷公藤,1.0,257.0,257.0,189.0,187.0
726,CHP02176,辣木,1.0,118.0,118.0,82.0,82.0
727,CHP02180,莱菔子,1.0,34.0,34.0,15.0,15.0
728,CHP02209,狼毒,1.0,36.0,36.0,23.0,23.0
729,CHP02218,莨菪根,1.0,4.0,4.0,2.0,2.0
730,CHP05205,迎春花,1.0,13.0,13.0,9.0,9.0
731,CHP05211,瘿花香茶菜,1.0,6.0,6.0,3.0,3.0
732,CHP05218,永宁独活,1.0,5.0,5.0,2.0,2.0
733,CHP05221,油茶根皮,1.0,7.0,7.0,3.0,3.0
734,CHP05224,油茶子,1.0,6.0,6.0,3.0,3.0
735,CHP05229,油柑叶,1.0,6.0,6.0,5.0,5.0
736,CHP05248,柚花,1.0,21.0,21.0,5.0,5.0
737,CHP05186,银杏叶,1.0,44.0,44.0,18.0,17.0
738,CHP05190,淫羊藿,1.0,165.0,165.0,103.0,103.0
739,CHP05194,罂粟,1.0,7.0,7.0,6.0,6.0
740,CHP05195,罂粟壳,1.0,3.0,3.0,3.0,3.0
741,CHP05174,银柴胡,1.0,6.0,6.0,3.0,3.0
742,CHP05183,银线草,1.0,7.0,7.0,4.0,4.0
743,CHP05185,银杏,1.0,42.0,42.0,31.0,29.0
744,CHP05140,一枝黄花,1.0,19.0,19.0,11.0,11.0
745,CHP05154,异叶梁王茶,1.0,8.0,8.0,4.0,4.0
746,CHP05157,益母草,1.0,69.0,69.0,42.0,42.0
747,CHP05159,益智,1.0,12.0,12.0,11.0,11.0
748,CHP05160,益智仁,1.0,5.0,5.0,1.0,1.0
749,CHP05162,薏苡仁,1.0,6.0,6.0,2.0,2.0
750,CHP05163,翼首草,1.0,14.0,14.0,10.0,10.0
751,CHP02427,龙眼肉,1.0,1.0,1.0,1.0,1.0
752,CHP02429,龙眼叶,1.0,6.0,6.0,3.0,3.0
753,CHP02439,耧斗菜,1.0,16.0,16.0,10.0,10.0
754,CHP02440,漏芦,1.0,26.0,26.0,14.0,14.0
755,CHP02441,芦根,1.0,24.0,24.0,11.0,11.0
756,CHP02443,芦荟,1.0,65.0,65.0,38.0,37.0
757,CHP02450,芦竹根,1.0,11.0,11.0,3.0,3.0
758,CHP02400,龙胆草,1.0,65.0,65.0,41.0,40.0
759,CHP02405,龙葵,1.0,55.0,55.0,39.0,39.0
760,CHP02406,龙葵根,1.0,48.0,48.0,33.0,32.0
761,CHP02410,龙脑膏香,1.0,15.0,15.0,11.0,11.0
762,CHP02412,龙舌兰,1.0,28.0,28.0,19.0,19.0
763,CHP02416,龙须藤,1.0,28.0,28.0,25.0,25.0
764,CHP02418,龙血树,1.0,22.0,22.0,10.0,9.0
765,CHP02420,龙牙楤木,1.0,5.0,5.0,3.0,3.0
766,CHP02355,铃兰,1.0,20.0,20.0,10.0,10.0
767,CHP02356,凌霄,1.0,6.0,6.0,2.0,2.0
768,CHP02357,凌霄花,1.0,33.0,33.0,19.0,18.0
769,CHP02367,琉璃草,1.0,27.0,27.0,15.0,15.0
770,CHP02371,柳穿鱼,1.0,9.0,9.0,4.0,4.0
771,CHP02375,柳杉,1.0,21.0,21.0,14.0,14.0
772,CHP02391,六棱菊,1.0,28.0,28.0,15.0,15.0
773,CHP02323,两面针,1.0,43.0,43.0,28.0,26.0
774,CHP02327,两头尖,1.0,26.0,26.0,17.0,17.0
775,CHP02333,亮叶桦皮,1.0,3.0,3.0,2.0,2.0
776,CHP02337,辽东楤木,1.0,19.0,19.0,9.0,9.0
777,CHP02339,蓼实,1.0,2.0,2.0,2.0,2.0
778,CHP02340,列当,1.0,5.0,5.0,4.0,3.0
779,CHP02342,裂果薯,1.0,17.0,17.0,9.0,9.0
780,CHP02353,灵香草,1.0,26.0,26.0,16.0,15.0
781,CHP02519,落葵,1.0,1.0,1.0,1.0,1.0
782,CHP02520,落葵花,1.0,9.0,9.0,7.0,7.0
783,CHP02526,吕宋果,1.0,10.0,10.0,5.0,5.0
784,CHP02528,绿豆,1.0,38.0,38.0,20.0,20.0
785,CHP02504,罗勒子,1.0,1.0,1.0,1.0,1.0
786,CHP02507,萝芙木,1.0,28.0,28.0,17.0,17.0
