rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP05843,海燕,1.0,2.0,2.0,2.0,2.0
2,CHP06039,象胆,1.0,1.0,1.0,1.0,1.0
3,CHP01226,枸骨根,1.0,1.0,1.0,1.0,1.0
4,CHP03933,睡菜根,1.0,1.0,1.0,1.0,1.0
5,CHP03552,山萝卜,1.0,1.0,1.0,1.0,1.0
6,CHP03568,山稔叶,1.0,1.0,1.0,1.0,1.0
7,CHP03375,三叉凤尾蕨,1.0,1.0,1.0,1.0,1.0
8,CHP03569,山珊瑚,1.0,1.0,1.0,1.0,1.0
9,CHP05267,鱼腥草,1.0,1.0,1.0,1.0,1.0
10,CHP05274,榆树,1.0,1.0,1.0,1.0,1.0
11,CHP05355,云实叶,1.0,1.0,1.0,1.0,1.0
12,CHP00261,扁桃斑鸠菊,1.0,2.0,2.0,2.0,2.0
13,CHP05481,栀子叶,1.0,1.0,1.0,1.0,1.0
14,CHP05435,长尾复叶耳蕨,1.0,1.0,1.0,1.0,1.0
15,CHP05592,苎麻根,1.0,1.0,1.0,1.0,1.0
16,CHP00176,百蕊草,1.0,1.0,1.0,1.0,1.0
17,CHP05670,紫萁,1.0,2.0,2.0,2.0,2.0
18,CHP00254,鞭打绣球,1.0,1.0,1.0,1.0,1.0
19,CHP00247,薜荔,1.0,2.0,2.0,2.0,2.0
20,CHP05461,鹧鸪菜,1.0,1.0,1.0,1.0,1.0
21,CHP01123,甘菊,1.0,2.0,2.0,2.0,2.0
22,CHP05304,圆柏,1.0,5.0,5.0,5.0,5.0
23,CHP01359,河套大黄,1.0,2.0,2.0,2.0,2.0
24,CHP01050,风箱树叶,1.0,1.0,1.0,1.0,1.0
25,CHP01076,凤眼草,1.0,8.0,8.0,8.0,8.0
26,CHP03257,青羊参,1.0,2.0,2.0,2.0,2.0
27,CHP01935,金雀根,1.0,1.0,1.0,1.0,1.0
28,CHP00993,番石榴皮,1.0,2.0,2.0,2.0,2.0
29,CHP00994,番石榴叶,1.0,3.0,3.0,3.0,3.0
30,CHP02511,萝藦子,1.0,5.0,5.0,5.0,5.0
31,CHP00928,多花蒿,1.0,10.0,10.0,10.0,10.0
32,CHP01170,高山辣根菜,1.0,1.0,1.0,1.0,1.0
33,CHP00988,番木瓜叶,1.0,1.0,1.0,1.0,1.0
34,CHP04021,锁阳,1.0,2.0,2.0,2.0,2.0
35,CHP03881,水木草,1.0,1.0,1.0,1.0,1.0
