rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,avg_score,adj_avg_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
1,CHP01886,绞股蓝,0.923230877482095,0.965474461805668,0.9587539395607307,238.472192066,0.965474461805668,0.9994316073568282,227.0,0.9190283400809717
2,CHP02748,没药,0.9058079874781302,0.9277449517663231,0.9232603035385641,269.973780964,0.9277449517663231,0.9971896215139443,248.0,0.8625429553264605
3,CHP01416,红豆杉,0.8558382895921288,0.8339289391788322,0.8331910915252828,456.99305867000004,0.8339289391788322,0.9993079882822086,325.0,0.5948905109489051
4,CHP04552,香茶菜,0.8462764524650511,0.856767854276458,0.8554145601080504,396.68351653,0.856767854276458,0.999630132266187,278.0,0.6004319654427646
5,CHP01580,华东膜蕨,0.8437747792622429,1.0,0.9407877257459376,25.0,1.0,1.0,25.0,1.0
6,CHP03682,升麻,0.8431764912047716,0.9351503005970149,0.9252618797299154,125.31014028,0.9351503005970149,0.9996074184955752,113.0,0.8432835820895522
7,CHP04174,通草,0.8426630718906196,0.9997912470833334,0.9388988332678769,23.994989930000003,0.9997912470833334,0.9997912470833334,24.0,1.0
8,CHP00617,丹参,0.8407224104076226,0.8911372788382979,0.8871217588902359,209.417260527,0.8911372788382979,0.9915957355191258,176.0,0.7787234042553192
9,CHP06111,灵芝,0.8404279007012968,0.8792001302120142,0.8762498540993441,248.81363685,0.8792001302120142,0.9934816891826923,201.0,0.734982332155477
10,CHP03649,蛇菰,0.8373297387298742,0.999999052631579,0.9285362896933728,18.999982,0.999999052631579,0.999999052631579,19.0,1.0
11,CHP04359,乌药,0.8370942847879504,0.9996043610526315,0.92827769865889,18.99248286,0.9996043610526315,0.9996043610526315,19.0,1.0
12,CHP03319,人参,0.8349159821799735,0.924305318046875,0.9147728341384624,118.31108071,0.924305318046875,0.9983797647222222,107.0,0.84375
13,CHP02254,雷公藤,0.8346658512523747,0.878995653540856,0.8757657429254974,225.90188296,0.878995653540856,0.9975901065608466,187.0,0.7354085603112841
14,CHP03024,牛膝,0.8330006689908656,0.9065111751111112,0.899897562611092,146.85481036800002,0.9065111751111112,0.9998566521374046,131.0,0.808641975308642
