rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1492,CHP05831,龟甲,0.94735335,5.0,5.0,2.0,1.0
1493,CHP02972,柠檬皮,0.9464952133333333,6.0,6.0,3.0,2.0
1494,CHP00875,杜茎山,0.9464044399999999,25.0,25.0,15.0,10.0
1495,CHP01366,核桃楸果仁,0.9462202966666666,6.0,6.0,3.0,2.0
1496,CHP05866,鲩鱼,0.94621724,1.0,1.0,1.0,1.0
1497,CHP05553,猪屎豆,0.9460349,3.0,3.0,2.0,1.0
1498,CHP03094,披针叶野决明,0.94458568,5.0,5.0,3.0,2.0
1499,CHP03274,秋海棠,0.94334045,5.0,5.0,2.0,1.0
1500,CHP02639,芒果核,0.9433322,5.0,5.0,1.0,1.0
1501,CHP00828,冬珊瑚,0.93961335,5.0,5.0,2.0,1.0
1502,CHP03589,山小橘,0.9390928,5.0,5.0,1.0,1.0
1503,CHP06117,蘑菇,0.93729611,11.0,11.0,7.0,5.0
1504,CHP00859,独角莲,0.9364315739999999,8.0,8.0,5.0,3.0
1505,CHP04303,望江南,0.9352892275,9.0,9.0,8.0,5.0
1506,CHP02983,牛蒡根,0.93521598,3.0,3.0,2.0,1.0
1507,CHP01244,骨节草,0.932842132,6.0,6.0,5.0,3.0
1508,CHP02583,马铃薯,0.9309638866666666,5.0,5.0,3.0,2.0
1509,CHP04972,羊蹄草,0.9308165,1.0,1.0,1.0,1.0
1510,CHP01593,华南吴茱萸,0.9279639,4.0,4.0,2.0,1.0
1511,CHP02061,君迁子,0.9273123750000001,7.0,7.0,2.0,1.0
1512,CHP06035,蜈蚣,0.925789,2.0,2.0,1.0,1.0
1513,CHP04170,铁仔,0.919799715,3.0,3.0,2.0,1.0
1514,CHP05325,月见草,0.9196911750000001,2.0,2.0,2.0,1.0
1515,CHP05680,紫苏子,0.9176701859999999,22.0,22.0,5.0,3.0
1516,CHP05835,蛤壳,0.91759807,1.0,1.0,1.0,1.0
1517,CHP04392,梧桐子,0.91369,2.0,2.0,1.0,1.0
1518,CHP02824,明党参,0.91361493,4.0,4.0,2.0,1.0
1519,CHP00308,藏青果,0.9131281250000001,3.0,3.0,2.0,1.0
1520,CHP04848,血风藤,0.91074438,10.0,10.0,3.0,1.0
1521,CHP02816,棉花根,0.90792065,9.0,9.0,2.0,1.0
1522,CHP03705,石莼,0.9053065666666668,8.0,8.0,3.0,2.0
1523,CHP00210,半夏曲,0.9025904,2.0,2.0,2.0,1.0
1524,CHP05647,紫金牛根,0.90238052,7.0,7.0,3.0,2.0
1525,CHP01910,金光菊,0.9015644,2.0,2.0,1.0,1.0
