herb_rank,herb_name,CHP_ID,compound_rank,InChIKey,SMILES,predicted_probability
1,绞股蓝,CHP01886,1,AADJVSLFZQUWEG-QERLLUKSSA-N,CC(C)=CCC[C@H](O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@]3(CO)CC[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@H]3CC[C@]12C,1.0
1,绞股蓝,CHP01886,2,AADJVSLFZQUWEG-RVMGFPDHSA-N,CC(C)=CCCC(O)C1CCC2(C)C1CCC1C3(CO)CCC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)C3CCC12C,1.0
1,绞股蓝,CHP01886,3,ABAMJLUIGZJLAL-GCQHJEABSA-N,CC(C)=CCC[C@](O)(CO)[C@@H]1CC[C@@]2(C)[C@H]1[C@@H](O)C[C@H]1[C@]3(C=O)CC[C@@H](O)C(C)(C)[C@H]3CC[C@@]12C,1.0
1,绞股蓝,CHP01886,4,ABAMJLUIGZJLAL-OKMODBMOSA-N,CC(C)=CCC[C@@](O)(CO)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@]3(C=O)CC[C@@H](O)C(C)(C)[C@H]3CC[C@]12C,1.0
2,没药,CHP02748,1,ACVJOONHBCENHU-PQKUORFGSA-N,C[C@@H]1[C@@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@]5(C)C[C@@H](C)[C@H](O)[C@@](C)(C(=O)O)C5CC[C@]43C)[C@@H]12,1.0
2,没药,CHP02748,2,AGBCLJAHARWNLA-LSLFAQIYSA-N,CC(C)=CCC[C@@](C)(O)[C@@H]1CC[C@@]2(C)[C@H]1[C@@H](O)C[C@H]1[C@@]3(C)CC[C@@H](O)C(C)(C)[C@H]3[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C[C@]12C,1.0
2,没药,CHP02748,3,APWYURUHAJHTLM-GYUGJDNZSA-N,CC(=O)/C(C)=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,1.0
2,没药,CHP02748,4,AUSAHAHDEVYCOC-DZGCQCFKSA-N,CC1=CC=C[C@]2(C)Cc3occ(C)c3C[C@@H]12,1.0
3,红豆杉,CHP01416,1,ADDGUHVEJPNWQZ-GJKIWTKTSA-N,C/C=C(\C)C(O)=N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,1.0
3,红豆杉,CHP01416,2,ADDGUHVEJPNWQZ-VGNPSGPUSA-N,C/C=C(\C)C(O)=NC(c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,1.0
3,红豆杉,CHP01416,3,AFACRWFCMRQXCN-QDMBINODSA-N,CC(=O)O[C@H]1C[C@]2(C(C)(C)O)C(=C1C)[C@@H](O)[C@H](OC(=O)c1ccccc1)[C@]1(C)[C@@H](OC(C)=O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]1[C@@H]2OC(=O)c1ccccc1,1.0
3,红豆杉,CHP01416,4,ANDFUFYTIKMZJO-WKQJMUKVSA-N,C=C1[C@@H](OC(=O)[C@H](OC(C)=O)[C@@H](c2ccccc2)N(C)C)C[C@H](OC(C)=O)[C@]2(C)[C@@H]1C[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)C(C)=C(C(=O)[C@@H]2OC(C)=O)C1(C)C,1.0
4,香茶菜,CHP04552,1,ABAWRQQNGPQKMG-AZPRSEESSA-N,C=C1C(=O)[C@]23C[C@H]1C[C@H](OC(C)=O)[C@H]2[C@]1(C)[C@@H](OC(C)=O)C[C@H](O)C(C)(C)[C@H]1[C@@H](O)C3,1.0
4,香茶菜,CHP04552,2,AEHSHPSACZNIDN-QOROFIBHSA-N,C=C1[C@@H]2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]3[C@@]45CO[C@](O)([C@@H](O)[C@@H]4C(C)(C)CC[C@@H]5O)[C@]3(C2)[C@@H]1O,1.0
4,香茶菜,CHP04552,3,AEKXPCBWZDPSDU-ODPFNFGWSA-N,C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CCC[C@@]4(C)CO[C@H]1O[C@@]3(O)[C@@H](O)[C@H]42,1.0
4,香茶菜,CHP04552,4,AFBNZCDGSSSCST-LKXIHEMSSA-N,C=C1C(=O)[C@@]23[C@@H]4O[C@H]5O[C@@]2(O)[C@@H](O)[C@@H]2C(C)(C)CCC[C@]52[C@@H]3[C@@H](OC(C)=O)C[C@@H]14,1.0
5,华东膜蕨,CHP01580,1,ADDKDISNWQJHTB-QZWKLUJDSA-N,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)c(O)c2)[C@H]1OC(=O)Cc1ccc(O)c(O)c1,1.0
5,华东膜蕨,CHP01580,2,CPUZPCQKJSNKFX-PNHIOWAWSA-N,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccc(O)c(O)c2)[C@H]1O,1.0
5,华东膜蕨,CHP01580,3,FRWQMDSUBBWLRW-DOASFHBLSA-N,C[C@@H]1C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc3ccc(O)cc3)[C@H]2OC(=O)Cc2ccc(O)cc2)CC(=O)O1,1.0
5,华东膜蕨,CHP01580,4,GGJOEVXAZYSYAX-UADKCLNFSA-N,C/C(=C\CO)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)Cc2ccccc2)[C@H]1OC(=O)Cc1ccc(O)c(O)c1,1.0
