rank,CHP_ID,Chinese_herbal_pieces,max_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP03444,沙棘,1.0,90.0,90.0,33.0,24.0
2,CHP01099,浮叶眼子菜,1.0,13.0,13.0,1.0,1.0
3,CHP01236,枸杞子,1.0,137.0,137.0,31.0,20.0
4,CHP01073,凤仙透骨草,1.0,46.0,46.0,11.0,9.0
5,CHP00412,川贝母,1.0,228.0,228.0,74.0,66.0
6,CHP01334,海带,1.0,65.0,65.0,28.0,26.0
7,CHP01146,干姜,1.0,106.0,106.0,29.0,26.0
8,CHP00288,补骨脂,1.0,181.0,181.0,49.0,34.0
9,CHP00258,扁豆,1.0,93.0,93.0,38.0,31.0
10,CHP00241,萆薢,1.0,74.0,74.0,25.0,23.0
11,CHP01104,福寿草,1.0,20.0,20.0,18.0,18.0
12,CHP05402,獐牙菜,1.0,37.0,37.0,19.0,17.0
13,CHP00170,百合,1.0,137.0,137.0,44.0,36.0
14,CHP00333,茶叶,1.0,125.0,125.0,58.0,51.0
15,CHP05286,玉米须,1.0,13.0,13.0,5.0,5.0
16,CHP00306,藏红花,1.0,134.0,134.0,42.0,35.0
17,CHP01923,金莲花,1.0,38.0,38.0,11.0,11.0
18,CHP00300,苍耳子,1.0,71.0,71.0,30.0,24.0
19,CHP00341,柴胡,1.0,299.0,299.0,73.0,60.0
20,CHP03102,枇杷叶,1.0,89.0,89.0,16.0,11.0
21,CHP04591,香橼,1.0,10.0,10.0,4.0,4.0
22,CHP00417,川乌,1.0,268.0,268.0,92.0,86.0
23,CHP01561,花椒,1.0,83.0,83.0,16.0,10.0
24,CHP00819,冬葵果,1.0,80.0,80.0,24.0,23.0
25,CHP01517,胡萝卜,1.0,8.0,8.0,1.0,1.0
26,CHP00361,陈皮,1.0,103.0,103.0,36.0,24.0
27,CHP01717,黄芪,1.0,171.0,171.0,49.0,46.0
28,CHP00987,番木瓜,1.0,24.0,24.0,8.0,8.0
29,CHP00989,番茄,1.0,53.0,53.0,15.0,15.0
30,CHP04069,桃枝,1.0,13.0,13.0,6.0,4.0
31,CHP00779,丁香,1.0,137.0,137.0,40.0,36.0
32,CHP01449,红景天,1.0,44.0,44.0,26.0,23.0
33,CHP01834,夹竹桃,1.0,58.0,58.0,23.0,22.0
34,CHP05104,野芝麻,1.0,43.0,43.0,15.0,7.0
35,CHP00415,川木通,1.0,96.0,96.0,32.0,20.0
36,CHP00274,槟榔,1.0,172.0,172.0,66.0,54.0
37,CHP00189,斑草,1.0,15.0,15.0,5.0,4.0
38,CHP02172,辣椒,1.0,108.0,108.0,46.0,37.0
39,CHP00076,白附子,1.0,58.0,58.0,23.0,19.0
40,CHP02082,孔雀草,1.0,10.0,10.0,5.0,5.0
41,CHP00660,稻草,1.0,27.0,27.0,11.0,11.0
42,CHP04482,细辛,1.0,23.0,23.0,12.0,8.0
43,CHP00612,代代花,1.0,96.0,96.0,36.0,34.0
44,CHP00121,白毛藤,1.0,121.0,121.0,41.0,37.0
45,CHP00216,薄荷,1.0,252.0,252.0,71.0,57.0
46,CHP00114,白蔹,1.0,102.0,102.0,25.0,20.0
47,CHP03439,沙参,0.9999999,44.0,44.0,22.0,19.0
48,CHP00513,大黄,0.9999999,205.0,205.0,65.0,47.0
49,CHP03319,人参,0.9999999,128.0,128.0,16.0,10.0
50,CHP01425,红花,0.9999999,114.0,114.0,34.0,31.0
51,CHP04552,香茶菜,0.9999999,463.0,463.0,177.0,173.0
52,CHP03751,石刷把,0.9999998,4.0,4.0,2.0,2.0
53,CHP00142,白术,0.9999998,118.0,118.0,36.0,32.0
54,CHP03893,水松,0.9999998,4.0,4.0,2.0,2.0
55,CHP03104,啤酒花,0.9999998,54.0,54.0,22.0,17.0
56,CHP06122,桑黄,0.9999998,16.0,16.0,7.0,6.0
57,CHP00355,车前草,0.9999997,197.0,197.0,74.0,63.0
58,CHP02155,款冬花,0.9999997,79.0,79.0,15.0,10.0
59,CHP00032,八角莲,0.9999997,138.0,138.0,44.0,35.0
60,CHP05880,鸡脑,0.9999997,3.0,3.0,2.0,2.0
61,CHP02546,麻黄,0.99999964,88.0,88.0,28.0,21.0
62,CHP00731,棣棠花,0.99999964,12.0,12.0,6.0,5.0
63,CHP03229,青蒿,0.9999995,120.0,120.0,35.0,35.0
64,CHP00421,穿龙薯蓣,0.9999995,37.0,37.0,17.0,13.0
65,CHP00014,艾叶,0.9999995,397.0,397.0,158.0,127.0
66,CHP00543,板蓝根,0.9999994,193.0,193.0,64.0,50.0
67,CHP01364,荷叶,0.99999934,31.0,31.0,5.0,4.0
68,CHP03084,蓬莱草,0.99999934,5.0,5.0,3.0,2.0
69,CHP00853,毒芹根,0.99999934,10.0,10.0,4.0,4.0
70,CHP04047,檀香,0.99999934,27.0,27.0,4.0,3.0
71,CHP01543,槲寄生,0.99999934,61.0,61.0,25.0,24.0
72,CHP05478,栀子,0.9999992,48.0,48.0,23.0,23.0
73,CHP00037,巴豆,0.9999992,137.0,137.0,48.0,35.0
74,CHP03698,十大功劳叶,0.99999917,67.0,67.0,21.0,21.0
75,CHP00872,独一味,0.99999917,26.0,26.0,10.0,10.0
76,CHP02297,连钱草,0.99999887,61.0,61.0,23.0,21.0
77,CHP06096,鬼盖,0.9999987,6.0,6.0,4.0,3.0
78,CHP01206,钩藤,0.9999987,174.0,174.0,47.0,45.0
79,CHP01118,甘草,0.9999987,341.0,341.0,120.0,82.0
80,CHP00186,柏子仁,0.99999857,47.0,47.0,20.0,13.0
81,CHP01138,橄榄,0.9999981,25.0,25.0,7.0,5.0
82,CHP02495,罗汉果,0.9999981,102.0,102.0,26.0,19.0
83,CHP00422,穿心莲,0.9999979,100.0,100.0,22.0,16.0
84,CHP04449,西瓜,0.9999978,15.0,15.0,5.0,3.0
85,CHP01515,胡椒,0.9999978,134.0,134.0,51.0,47.0
86,CHP02254,雷公藤,0.9999978,257.0,257.0,60.0,55.0
87,CHP02489,罗布麻叶,0.9999975,25.0,25.0,11.0,9.0
88,CHP01623,槐花,0.99999744,112.0,112.0,37.0,30.0
89,CHP01414,红豆蔻,0.99999744,42.0,42.0,14.0,11.0
90,CHP01066,凤尾茶,0.99999744,4.0,4.0,2.0,1.0
91,CHP03397,三七,0.99999726,117.0,117.0,46.0,37.0
92,CHP03193,前胡,0.999997,85.0,85.0,25.0,18.0
93,CHP04389,吴茱萸,0.99999636,56.0,56.0,11.0,10.0
94,CHP01235,枸杞叶,0.999996,14.0,14.0,6.0,6.0
95,CHP00948,莪术,0.9999958,226.0,226.0,64.0,58.0
96,CHP02209,狼毒,0.9999958,36.0,36.0,9.0,7.0
97,CHP04190,桐油,0.9999957,10.0,10.0,5.0,5.0
98,CHP00360,沉香,0.9999955,259.0,259.0,75.0,57.0
99,CHP00100,白胶香,0.99999535,20.0,20.0,10.0,10.0
100,CHP01042,风轮菜,0.99999505,40.0,40.0,16.0,16.0
101,CHP02970,柠檬桉叶,0.9999949,5.0,5.0,3.0,3.0
102,CHP01058,蜂斗菜,0.99999475,94.0,94.0,41.0,34.0
103,CHP00573,大叶柴胡,0.99999446,9.0,9.0,3.0,3.0
104,CHP01015,飞廉,0.9999939,11.0,11.0,4.0,4.0
105,CHP00030,八角茴香,0.9999938,266.0,266.0,85.0,75.0
