rank,CHP_ID,Chinese_herbal_pieces,high_quality_ratio,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01888,接骨丹,1.0,1.0,1.0,1.0,0.0
2,CHP01849,假细锥香茶菜,1.0,4.0,4.0,4.0,4.0
3,CHP01555,虎尾兰,1.0,2.0,2.0,2.0,1.0
4,CHP01909,金冠鳞毛蕨,1.0,1.0,1.0,1.0,0.0
5,CHP05555,猪殃殃,1.0,2.0,2.0,2.0,2.0
6,CHP02149,块茎糙苏,1.0,1.0,1.0,1.0,1.0
7,CHP02026,橘白,1.0,1.0,1.0,1.0,0.0
8,CHP01941,金丝梅,1.0,1.0,1.0,1.0,1.0
9,CHP05712,紫珠,1.0,1.0,1.0,1.0,0.0
10,CHP05694,紫薇叶,1.0,1.0,1.0,1.0,1.0
11,CHP05683,紫藤,1.0,1.0,1.0,1.0,1.0
12,CHP05610,姊妹树,1.0,1.0,1.0,1.0,1.0
13,CHP02293,栗树皮,1.0,2.0,2.0,2.0,2.0
14,CHP02182,兰花,1.0,3.0,3.0,3.0,3.0
15,CHP02120,苦楝实,1.0,3.0,3.0,3.0,3.0
16,CHP02034,橘叶巴戟,1.0,2.0,2.0,2.0,1.0
17,CHP01063,凤凰木,1.0,1.0,1.0,1.0,1.0
18,CHP01020,飞扬草,1.0,1.0,1.0,1.0,0.0
19,CHP05408,樟脑,1.0,1.0,1.0,1.0,1.0
20,CHP05345,云南菟丝子,1.0,2.0,2.0,2.0,2.0
21,CHP00285,伯乐树,1.0,1.0,1.0,1.0,1.0
22,CHP05297,郁金香根,1.0,1.0,1.0,1.0,1.0
23,CHP00276,柄果槲寄生,1.0,1.0,1.0,1.0,0.0
24,CHP00289,补血草,1.0,1.0,1.0,1.0,1.0
25,CHP02539,绿笋片,1.0,2.0,2.0,2.0,2.0
26,CHP02515,骆驼蓬子,1.0,2.0,2.0,2.0,1.0
27,CHP02525,驴蹄草,1.0,1.0,1.0,1.0,1.0
28,CHP02470,路边姜,1.0,5.0,5.0,5.0,5.0
29,CHP06156,红粉,1.0,1.0,1.0,1.0,0.0
30,CHP05837,海参,1.0,1.0,1.0,1.0,1.0
31,CHP06157,琥珀,1.0,1.0,1.0,1.0,1.0
32,CHP05889,鸡子壳,1.0,1.0,1.0,1.0,1.0
33,CHP06118,木耳,1.0,1.0,1.0,1.0,1.0
34,CHP04535,咸酸蔃,1.0,1.0,1.0,1.0,0.0
35,CHP04481,细香葱,1.0,1.0,1.0,1.0,1.0
36,CHP04777,新疆藁本,1.0,2.0,2.0,2.0,2.0
37,CHP06040,象骨,1.0,1.0,1.0,1.0,1.0
38,CHP05887,鸡子白,1.0,1.0,1.0,1.0,1.0
39,CHP00149,白土茯苓,1.0,1.0,1.0,1.0,0.0
40,CHP00130,白牛胆,1.0,1.0,1.0,1.0,1.0
41,CHP05463,珍珠菜,1.0,2.0,2.0,2.0,2.0
42,CHP02815,棉花,1.0,1.0,1.0,1.0,1.0
43,CHP05495,枳椇根,1.0,1.0,1.0,1.0,1.0
44,CHP05379,泽藓,1.0,1.0,1.0,1.0,1.0
45,CHP01028,榧子,1.0,1.0,1.0,1.0,1.0
46,CHP02918,南板蓝根,1.0,4.0,4.0,4.0,2.0
47,CHP03401,三色堇,1.0,1.0,1.0,1.0,0.0
48,CHP03567,山棯叶,1.0,1.0,1.0,1.0,1.0
49,CHP03685,生漆,1.0,3.0,3.0,3.0,2.0
