rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
535,CHP01697,黄栌枝叶,0.53112527,2.0,2.0,1.0,1.0
536,CHP01261,关木通,0.5311006049,12.0,12.0,4.0,4.0
537,CHP03213,荞麦,0.5308361830499999,14.0,14.0,6.0,6.0
538,CHP03132,葡萄柚,0.5307178268571429,7.0,7.0,3.0,2.0
539,CHP01460,红毛七,0.5301888436666666,9.0,9.0,3.0,3.0
540,CHP03434,桑枝,0.5298777231428572,35.0,35.0,15.0,13.0
541,CHP02342,裂果薯,0.5290318691764706,17.0,17.0,8.0,8.0
542,CHP02942,南酸枣,0.5289907965,4.0,4.0,2.0,2.0
543,CHP01058,蜂斗菜,0.528717050074468,94.0,94.0,41.0,34.0
544,CHP01015,飞廉,0.5286817492727273,11.0,11.0,4.0,4.0
545,CHP01310,鬼箭羽,0.5286097948571429,42.0,42.0,14.0,11.0
546,CHP04608,向日葵叶,0.5283249642727272,11.0,11.0,5.0,5.0
547,CHP00284,播娘蒿,0.5281611965714286,14.0,14.0,7.0,6.0
548,CHP05392,粘毛鼠尾草,0.5279556675,4.0,4.0,2.0,2.0
549,CHP01834,夹竹桃,0.5279524148982758,58.0,58.0,23.0,22.0
550,CHP00206,半边苏,0.5278940959922857,35.0,35.0,14.0,12.0
551,CHP06127,树舌,0.5277768241086956,46.0,46.0,22.0,21.0
552,CHP00997,番泻叶,0.5273947370681819,22.0,22.0,9.0,6.0
553,CHP00571,大叶桉叶,0.5271243400000001,7.0,7.0,2.0,0.0
554,CHP05515,重楼,0.527051973483871,31.0,31.0,14.0,14.0
555,CHP05357,芸薹,0.5262341285,2.0,2.0,1.0,1.0
556,CHP01669,黄花远志,0.5260943075238094,21.0,21.0,11.0,8.0
557,CHP00016,安徽贝母,0.5256886575454546,11.0,11.0,5.0,5.0
558,CHP00604,大叶紫珠,0.5254581144444445,9.0,9.0,4.0,3.0
559,CHP00039,巴戟天,0.5250831061176471,153.0,153.0,62.0,38.0
560,CHP04169,铁线莲,0.5250597785,2.0,2.0,1.0,1.0
561,CHP00086,白花菜,0.52502855,2.0,2.0,0.0,0.0
562,CHP00243,蓖麻根,0.524673195,8.0,8.0,2.0,1.0
563,CHP00693,地锦,0.5245814654333333,6.0,6.0,3.0,3.0
564,CHP01337,海红豆,0.5245264506666666,6.0,6.0,3.0,3.0
565,CHP00296,蚕豆,0.5244195375415789,19.0,19.0,9.0,8.0
566,CHP02172,辣椒,0.5243653065696297,108.0,108.0,46.0,37.0
567,CHP02055,决明,0.524316705082353,17.0,17.0,6.0,5.0
568,CHP01681,黄荆子,0.5241349631582524,103.0,103.0,42.0,41.0
569,CHP02781,迷迭香,0.5236858085999999,10.0,10.0,5.0,5.0
570,CHP02526,吕宋果,0.5233398342000001,10.0,10.0,5.0,5.0
571,CHP00371,秤钩风,0.5228464516999999,10.0,10.0,5.0,4.0
572,CHP01608,化橘红,0.5226406974848485,33.0,33.0,14.0,10.0
573,CHP04958,羊角拗,0.5226266492,10.0,10.0,4.0,4.0
574,CHP00683,地瓜子,0.52250641836,25.0,25.0,6.0,4.0
575,CHP01257,关苍术,0.5224846595,4.0,4.0,2.0,2.0
576,CHP01620,槐,0.5224031153076923,13.0,13.0,6.0,5.0
577,CHP04358,乌苏里瓦韦,0.5223418485,2.0,2.0,1.0,1.0
578,CHP04114,甜茶,0.522217045,2.0,2.0,1.0,1.0
579,CHP03002,牛筋果,0.5220110691428571,7.0,7.0,0.0,0.0
580,CHP02756,梅花,0.5215460695347187,64.0,64.0,27.0,20.0
581,CHP04190,桐油,0.52154414278,10.0,10.0,5.0,5.0
582,CHP00441,刺柏,0.5214106914054054,37.0,37.0,16.0,13.0
583,CHP03119,婆罗门参,0.52126368275,8.0,8.0,4.0,3.0
584,CHP02924,南方菟丝子,0.5209334725,4.0,4.0,2.0,2.0
585,CHP01739,黄菀,0.5207826421285714,7.0,7.0,3.0,3.0
586,CHP01269,管花肉苁蓉,0.5207618957,10.0,10.0,5.0,5.0
587,CHP03550,山柳,0.5206003,2.0,2.0,1.0,1.0
588,CHP02391,六棱菊,0.5200485195714286,28.0,28.0,13.0,13.0
589,CHP01773,鸡肠狼毒,0.5198204066111112,18.0,18.0,9.0,8.0
590,CHP04583,香唐松草,0.5194507333333334,3.0,3.0,1.0,1.0
591,CHP00044,芭蕉花,0.5190527146666667,9.0,9.0,4.0,4.0
592,CHP04746,小叶石楠,0.519037721,2.0,2.0,1.0,1.0
593,CHP02597,马先蒿,0.5189957215,2.0,2.0,1.0,1.0
594,CHP04523,夏至草,0.5186610836923078,13.0,13.0,5.0,5.0
595,CHP00222,报春花,0.518547595,2.0,2.0,1.0,1.0
596,CHP00448,刺梨,0.517957922,5.0,5.0,2.0,1.0
597,CHP00807,东莨菪,0.517779615,2.0,2.0,0.0,0.0
598,CHP04816,徐长卿,0.5175946516666666,15.0,15.0,6.0,4.0
599,CHP04698,小米草,0.517247915,2.0,2.0,1.0,1.0
600,CHP02696,毛连菜,0.5167306755000001,4.0,4.0,2.0,2.0
601,CHP00186,柏子仁,0.5165330445390638,47.0,47.0,20.0,13.0
602,CHP02457,陆英,0.5163233365,2.0,2.0,1.0,1.0
603,CHP00223,抱茎獐牙菜,0.515948605375,8.0,8.0,4.0,4.0
604,CHP00106,白蜡树皮,0.5157315961146341,82.0,82.0,30.0,25.0
605,CHP04299,网脉橐吾,0.51541911,2.0,2.0,1.0,0.0
606,CHP04835,雪见草,0.5153937815,2.0,2.0,1.0,1.0
607,CHP00049,霸王鞭,0.5151330382499999,20.0,20.0,9.0,8.0
608,CHP02896,木棉花,0.5149602298574468,47.0,47.0,13.0,9.0
609,CHP00812,冬瓜皮,0.5149168713002298,174.0,174.0,70.0,54.0
610,CHP02663,毛草龙,0.51424228,6.0,6.0,3.0,2.0
611,CHP03719,石见穿,0.5140350585,4.0,4.0,2.0,2.0
612,CHP02500,罗汉松实,0.5139529058235294,17.0,17.0,8.0,8.0
613,CHP00940,多穗蓼,0.5128201033333334,6.0,6.0,2.0,2.0
614,CHP04083,天冬,0.5128090783018519,54.0,54.0,23.0,22.0
615,CHP04900,芫花根,0.5127480666666667,3.0,3.0,1.0,1.0
616,CHP02769,美人蕉,0.51258759275,4.0,4.0,2.0,2.0
617,CHP03273,秋枫木,0.5122070933333334,3.0,3.0,1.0,1.0
618,CHP01339,海韭菜,0.512018563425,4.0,4.0,2.0,2.0
619,CHP03672,神香草,0.51129111675,4.0,4.0,2.0,2.0
620,CHP04042,太子参,0.5110888906842106,19.0,19.0,8.0,7.0
621,CHP02834,茉莉花,0.511017539,2.0,2.0,1.0,1.0
622,CHP01767,火焰花,0.5108580355,6.0,6.0,3.0,3.0
623,CHP05779,蟾蜍,0.5107979421818182,11.0,11.0,5.0,5.0
624,CHP01477,红芪,0.5106962461936171,47.0,47.0,19.0,16.0
625,CHP00258,扁豆,0.5106163884086022,93.0,93.0,38.0,31.0
626,CHP02305,莲花,0.5099137908235294,17.0,17.0,6.0,5.0
627,CHP03905,水团花,0.509715885,6.0,6.0,2.0,2.0
628,CHP00801,东当归,0.509525835,2.0,2.0,1.0,1.0
629,CHP00048,菝葜,0.5079994576833333,90.0,90.0,33.0,26.0
630,CHP04069,桃枝,0.5074962042615385,13.0,13.0,6.0,4.0
631,CHP02131,苦树皮,0.5073293468793103,58.0,58.0,20.0,19.0
632,CHP00486,大豆,0.50710824375,12.0,12.0,5.0,5.0
633,CHP03178,千斤拔,0.507064567972973,37.0,37.0,13.0,9.0
634,CHP01677,黄荆根,0.506825885,2.0,2.0,1.0,0.0
635,CHP02540,绿玉树,0.5068166715,2.0,2.0,1.0,1.0
636,CHP01903,金草,0.50677966,2.0,2.0,1.0,0.0
637,CHP00660,稻草,0.5062215962807408,27.0,27.0,11.0,11.0
638,CHP00059,白菖,0.5057876203114754,61.0,61.0,27.0,23.0
639,CHP01309,鬼箭锦鸡儿,0.5056527545454546,11.0,11.0,4.0,4.0
640,CHP00315,草豆蔻,0.505490949727027,37.0,37.0,16.0,14.0
641,CHP04761,斜基粗叶木,0.5053931645,4.0,4.0,2.0,2.0
642,CHP00060,白车轴草,0.5051537603076923,26.0,26.0,12.0,8.0
643,CHP05547,猪毛菜,0.5049396749999999,4.0,4.0,1.0,1.0
644,CHP04280,晚香玉,0.5043526147894738,19.0,19.0,9.0,9.0
645,CHP01813,吉祥草,0.50430265305,20.0,20.0,8.0,8.0
646,CHP02656,猫须草,0.5028498182244897,49.0,49.0,22.0,22.0
647,CHP01753,回回豆,0.5028480476785714,14.0,14.0,3.0,3.0
648,CHP01432,红花绿绒蒿,0.5026433366666666,9.0,9.0,2.0,0.0
649,CHP01118,甘草,0.5025855367680352,341.0,341.0,120.0,82.0
650,CHP00906,堆心菊,0.50249134044,25.0,25.0,11.0,10.0
651,CHP05919,鹿角,0.5024496035,2.0,2.0,1.0,1.0
652,CHP00140,白首乌,0.50182895165,40.0,40.0,17.0,17.0
653,CHP04225,土茯苓,0.5011541209925926,27.0,27.0,11.0,11.0
654,CHP04986,杨梅核仁,0.5009671776,2.0,2.0,1.0,1.0
655,CHP00396,臭山羊,0.5009036971176472,17.0,17.0,5.0,3.0
656,CHP00731,棣棠花,0.50075705165,12.0,12.0,6.0,5.0
657,CHP02967,柠檬,0.50073533,8.0,8.0,4.0,2.0
658,CHP02821,缅枣,0.5004348713250001,4.0,4.0,2.0,2.0
659,CHP03893,水松,0.500151031215,4.0,4.0,2.0,2.0
660,CHP05010,椰子瓤,0.4998578939,2.0,2.0,1.0,1.0
661,CHP03120,婆罗门皂荚,0.4997808172222222,9.0,9.0,3.0,2.0
662,CHP05221,油茶根皮,0.49966465142857147,7.0,7.0,3.0,3.0
663,CHP02463,鹿角菜,0.49939816428571426,7.0,7.0,3.0,3.0
664,CHP04392,梧桐子,0.4993298733,2.0,2.0,1.0,1.0
665,CHP06035,蜈蚣,0.499132949645,2.0,2.0,1.0,1.0
666,CHP06067,雉,0.4991089515,2.0,2.0,1.0,1.0
667,CHP01345,海州骨碎补,0.4988297046,10.0,10.0,4.0,4.0
668,CHP03426,桑寄生,0.49875918683333326,6.0,6.0,3.0,2.0
669,CHP02218,莨菪根,0.49815156775,4.0,4.0,2.0,1.0
670,CHP02063,开口箭,0.4979161241199999,50.0,50.0,19.0,18.0
671,CHP02541,葎草,0.49785982661290323,31.0,31.0,10.0,6.0
672,CHP01185,葛根,0.49781884520930225,43.0,43.0,16.0,16.0
673,CHP00308,藏青果,0.4975812498333334,3.0,3.0,1.0,1.0
674,CHP00103,白金果榄,0.49739242570000003,10.0,10.0,4.0,3.0
675,CHP00770,调经草,0.49705261,5.0,5.0,2.0,2.0
676,CHP01375,黑豆衣,0.49678562774999996,2.0,2.0,1.0,1.0
677,CHP02670,毛大丁草,0.4961294888888889,9.0,9.0,3.0,1.0
678,CHP03464,砂生槐,0.4961233,1.0,1.0,0.0,0.0
679,CHP01171,高山龙胆,0.4960804470909091,11.0,11.0,3.0,3.0
680,CHP04737,小叶黑柴胡,0.496011455,2.0,2.0,1.0,1.0
681,CHP00019,安息香,0.4959863102020468,171.0,171.0,62.0,48.0
682,CHP00332,茶条槭,0.49583453499999997,2.0,2.0,1.0,0.0
683,CHP01840,假百合,0.4955602444,5.0,5.0,2.0,2.0
684,CHP03022,牛西西,0.4954879749999999,9.0,9.0,4.0,4.0
685,CHP01871,降香,0.495120372425532,94.0,94.0,26.0,15.0
686,CHP03605,山楂叶,0.49505534603448276,29.0,29.0,10.0,9.0
687,CHP00936,多裂委陵菜,0.4948806413333333,3.0,3.0,1.0,1.0
688,CHP00292,布渣叶,0.49474242459980006,20.0,20.0,4.0,3.0
689,CHP03504,山矾根,0.49465300375,4.0,4.0,2.0,2.0
690,CHP05041,野花椒皮,0.49436994,2.0,2.0,0.0,0.0
691,CHP00061,白刺,0.49392537000000003,4.0,4.0,1.0,0.0
692,CHP04313,尾叶香茶菜,0.49360039479999995,35.0,35.0,14.0,14.0
693,CHP00313,草苁蓉,0.4931647673888888,36.0,36.0,15.0,15.0
694,CHP01412,红椿,0.49314796586799997,5.0,5.0,2.0,2.0
695,CHP05186,银杏叶,0.49285236411590905,44.0,44.0,14.0,13.0
696,CHP04232,土荆芥,0.492816458,8.0,8.0,4.0,4.0
697,CHP00508,大花糙苏,0.49279489800000004,2.0,2.0,1.0,1.0
698,CHP04867,鸦片,0.49242470177777775,9.0,9.0,4.0,3.0
699,CHP04326,文殊兰,0.49233352715000006,60.0,60.0,20.0,10.0
700,CHP02638,芒果,0.4922522767222222,36.0,36.0,14.0,13.0
701,CHP03329,日中花,0.4917452536,2.0,2.0,1.0,1.0
702,CHP04682,小蓟,0.491514428,5.0,5.0,2.0,2.0
703,CHP01751,灰叶根,0.49147203749999996,22.0,22.0,5.0,5.0
704,CHP02371,柳穿鱼,0.4909425946666667,9.0,9.0,3.0,2.0
