rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01104,福寿草,0.7575433869382121,20.0,20.0,18.0,18.0
2,CHP01193,葛蕈,0.7542453736210141,16.0,16.0,15.0,15.0
3,CHP01143,干地黄,0.73443927335956,21.0,21.0,17.0,17.0
4,CHP00793,东北刺人参,0.7228139951594756,16.0,16.0,14.0,14.0
5,CHP01211,狗脊,0.6909919063627273,29.0,29.0,21.0,15.0
6,CHP00408,楮树根,0.6856761463776139,46.0,46.0,27.0,20.0
7,CHP02909,木竹子,0.678474664001978,64.0,64.0,35.0,23.0
8,CHP04595,香樟,0.6779697973658547,15.0,15.0,11.0,9.0
9,CHP03767,莳萝子,0.6753185368970203,8.0,8.0,8.0,8.0
10,CHP03665,伸筋草,0.6752222111501203,43.0,43.0,29.0,25.0
11,CHP05322,月季花,0.6642293859117316,11.0,11.0,10.0,10.0
12,CHP05680,紫苏子,0.652521569817074,22.0,22.0,13.0,11.0
13,CHP05105,野芝麻根,0.6499338780081314,8.0,8.0,8.0,7.0
14,CHP00413,川滇淫羊藿,0.6431839118970203,8.0,8.0,6.0,6.0
15,CHP00990,番石榴,0.6406780991884712,12.0,12.0,9.0,8.0
16,CHP04824,玄参,0.6356750985531086,21.0,21.0,15.0,14.0
17,CHP02397,龙船花,0.6308668763879223,11.0,11.0,7.0,5.0
18,CHP02982,牛蒡,0.6282211424611984,12.0,12.0,8.0,7.0
19,CHP01449,红景天,0.6276080423582661,44.0,44.0,26.0,23.0
20,CHP04848,血风藤,0.6247371489573184,10.0,10.0,9.0,7.0
21,CHP01470,红木香,0.6229833656430167,12.0,12.0,7.0,6.0
22,CHP05682,紫檀,0.6163996393292689,36.0,36.0,19.0,17.0
23,CHP04325,文冠木,0.6139685536097578,5.0,5.0,5.0,5.0
24,CHP00809,东一号剑麻,0.6116353475866508,9.0,9.0,6.0,6.0
25,CHP06100,猴头菇,0.6108792600474608,19.0,19.0,10.0,8.0
26,CHP00778,丁茄,0.6100921302182298,9.0,9.0,7.0,7.0
27,CHP02470,路边姜,0.6079186789430912,5.0,5.0,5.0,5.0
28,CHP05647,紫金牛根,0.5995687249497861,7.0,7.0,6.0,4.0
29,CHP02863,木瓜,0.5987951382499288,41.0,41.0,18.0,15.0
30,CHP05261,鱼藤,0.5973883482029273,40.0,40.0,20.0,14.0
31,CHP00068,白杜鹃花,0.5963959126480844,18.0,18.0,10.0,9.0
32,CHP00924,盾叶唐松草,0.5944348497073182,10.0,10.0,6.0,4.0
33,CHP05402,獐牙菜,0.5901152471946035,37.0,37.0,19.0,17.0
34,CHP00806,东风橘根,0.5900544038417936,27.0,27.0,11.0,5.0
35,CHP00414,川鄂淫羊藿,0.590048641197446,11.0,11.0,8.0,8.0
36,CHP06089,冬虫夏草,0.5899950668202358,17.0,17.0,11.0,11.0
37,CHP01296,广金钱草,0.5894214460047216,21.0,21.0,13.0,9.0
38,CHP00455,刺桐,0.58784716275567,104.0,104.0,42.0,22.0
39,CHP00726,灯心草,0.5876280282584332,37.0,37.0,18.0,14.0
40,CHP05007,椰子,0.5863030217247404,4.0,4.0,4.0,4.0
41,CHP01849,假细锥香茶菜,0.586054555296169,4.0,4.0,4.0,4.0
42,CHP00368,橙子,0.5838213546747981,8.0,8.0,4.0,2.0
43,CHP05248,柚花,0.5830996794563345,21.0,21.0,12.0,12.0
44,CHP03130,葡萄,0.5825571288248349,12.0,12.0,7.0,7.0
45,CHP04838,雪莲,0.581656824587399,26.0,26.0,16.0,16.0
46,CHP04390,梧桐,0.5808390068970203,8.0,8.0,3.0,2.0
47,CHP00090,白花丹,0.579407085680843,45.0,45.0,21.0,16.0
48,CHP00187,败酱草,0.5794028020018297,70.0,70.0,38.0,31.0
49,CHP05070,野木瓜,0.5789136036341479,6.0,6.0,5.0,5.0
50,CHP06096,鬼盖,0.5776233821341479,6.0,6.0,4.0,3.0
51,CHP01814,极美云实,0.5770985028498088,9.0,9.0,6.0,5.0
52,CHP04834,雪胆,0.5753896700858546,15.0,15.0,10.0,10.0
53,CHP04272,歪脖子果,0.5749507290091478,6.0,6.0,5.0,3.0
54,CHP02527,吕宋楸毛,0.5733398696341478,6.0,6.0,4.0,4.0
55,CHP03970,松叶,0.5731809410104548,4.0,4.0,4.0,4.0
56,CHP03979,苏木,0.5722008101191062,50.0,50.0,22.0,15.0
57,CHP01824,荠菜,0.5713728925483011,51.0,51.0,26.0,25.0
58,CHP04602,向日葵,0.5692777671341478,6.0,6.0,5.0,4.0
59,CHP00173,百里香,0.5691309752165566,23.0,23.0,12.0,9.0
60,CHP04880,鸭跖草,0.5684850281533118,4.0,4.0,3.0,3.0
61,CHP00458,葱白,0.5671917384174546,70.0,70.0,27.0,21.0
62,CHP01508,厚朴,0.5660883435148577,121.0,121.0,46.0,30.0
63,CHP00076,白附子,0.5654835285153876,58.0,58.0,23.0,19.0
64,CHP02918,南板蓝根,0.5649521031533118,4.0,4.0,4.0,2.0
65,CHP04075,藤黄,0.5647469489249657,96.0,96.0,43.0,24.0
66,CHP05623,紫草,0.5627762773382121,20.0,20.0,9.0,8.0
67,CHP01424,红厚壳,0.5622765667029274,40.0,40.0,15.0,6.0
68,CHP00312,草本威灵仙,0.561181727292684,11.0,11.0,6.0,5.0
69,CHP03657,蛇葡萄,0.5610947230369795,21.0,21.0,8.0,8.0
70,CHP00333,茶叶,0.5600082603433064,125.0,125.0,58.0,51.0
71,CHP00011,艾纳香,0.5599487346837987,18.0,18.0,9.0,9.0
72,CHP02972,柠檬皮,0.559364037134148,6.0,6.0,4.0,4.0
73,CHP00672,地耳草,0.5577060887172812,98.0,98.0,42.0,29.0
74,CHP05690,紫薇,0.5571677010975621,12.0,12.0,6.0,5.0
75,CHP05675,紫杉,0.5568619817423783,102.0,102.0,54.0,54.0
76,CHP01342,海南买麻藤,0.5563801436585376,13.0,13.0,6.0,5.0
77,CHP00883,杜松实,0.5549375678909627,7.0,7.0,5.0,2.0
78,CHP03449,沙塘木,0.5542817517971772,9.0,9.0,3.0,0.0
79,CHP02816,棉花根,0.5541997378498088,9.0,9.0,5.0,5.0
80,CHP03134,蒲公英,0.5533475387533264,34.0,34.0,18.0,14.0
81,CHP05286,玉米须,0.5521896816585377,13.0,13.0,5.0,5.0
82,CHP00605,大叶醉鱼草,0.552109320296169,4.0,4.0,3.0,2.0
83,CHP01578,华北白前,0.5518019509628853,13.0,13.0,7.0,7.0
84,CHP01234,枸杞,0.5512071990058546,15.0,15.0,8.0,6.0
85,CHP02120,苦楝实,0.551162671088182,3.0,3.0,3.0,3.0
86,CHP00485,大丁草,0.5510705292854305,28.0,28.0,12.0,8.0
87,CHP02061,君迁子,0.5510549861262568,7.0,7.0,4.0,4.0
88,CHP00175,百脉根,0.5503322977658546,15.0,15.0,8.0,6.0
89,CHP05073,野漆树,0.5496999522764244,5.0,5.0,3.0,2.0
90,CHP02009,韭菜子,0.5496627809015989,19.0,19.0,10.0,9.0
91,CHP06116,蜜环菌,0.5489039321341479,6.0,6.0,4.0,2.0
92,CHP00080,白果紫草,0.5488849474831603,11.0,11.0,6.0,6.0
93,CHP00108,白兰花,0.5485922081937448,63.0,63.0,32.0,14.0
94,CHP03768,使君子,0.5484203371956105,25.0,25.0,14.0,9.0
95,CHP01302,广西九里香,0.5475993790091479,6.0,6.0,3.0,2.0
96,CHP03527,山黄皮,0.5471299196707324,26.0,26.0,8.0,5.0
97,CHP03217,芹花,0.5467295484128284,17.0,17.0,8.0,6.0
98,CHP04577,香青兰,0.5465704333958743,3.0,3.0,3.0,3.0
99,CHP00876,杜鹃花,0.5463704858641126,11.0,11.0,7.0,6.0
100,CHP03992,粟米草,0.5453939268970203,8.0,8.0,4.0,4.0
101,CHP05499,枳椇子,0.5453884602764243,5.0,5.0,4.0,3.0
102,CHP05541,珠子参,0.5450942002764243,5.0,5.0,4.0,3.0
103,CHP00203,半边旗,0.5449548736097577,5.0,5.0,3.0,3.0
