rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01517,胡萝卜,1.0,8.0,8.0,1.0,1.0
2,CHP01099,浮叶眼子菜,1.0,13.0,13.0,1.0,1.0
3,CHP03893,水松,0.999999485,4.0,4.0,2.0,2.0
4,CHP01066,凤尾茶,0.99999744,4.0,4.0,2.0,1.0
5,CHP03084,蓬莱草,0.999995795,5.0,5.0,3.0,2.0
6,CHP00573,大叶柴胡,0.9999904466666667,9.0,9.0,3.0,3.0
7,CHP04948,眼子菜,0.9999876,9.0,9.0,2.0,1.0
8,CHP06033,乌梢蛇,0.9999815,3.0,3.0,1.0,1.0
9,CHP02746,茅香,0.9998091,2.0,2.0,1.0,1.0
10,CHP04901,芫荽,0.99978685,8.0,8.0,1.0,1.0
11,CHP02847,木半夏根,0.9997715,3.0,3.0,1.0,1.0
12,CHP03910,水仙,0.99972135,7.0,7.0,3.0,1.0
13,CHP02540,绿玉树,0.99971646,2.0,2.0,1.0,1.0
14,CHP05169,茵陈,0.9995992600000001,16.0,16.0,4.0,4.0
15,CHP01549,蝴蝶花,0.9995223200000001,7.0,7.0,2.0,2.0
16,CHP00137,白屈菜,0.9995033,58.0,58.0,4.0,1.0
17,CHP00936,多裂委陵菜,0.9994566,3.0,3.0,1.0,1.0
18,CHP05010,椰子瓤,0.99943954,2.0,2.0,1.0,1.0
19,CHP03107,偏翅唐松草,0.999401,3.0,3.0,1.0,1.0
20,CHP03321,人参芦,0.999396,2.0,2.0,1.0,1.0
21,CHP02557,麻叶,0.9993084,13.0,13.0,2.0,1.0
22,CHP01840,假百合,0.99929975,5.0,5.0,2.0,2.0
23,CHP02821,缅枣,0.9992786250000001,4.0,4.0,2.0,2.0
24,CHP04986,杨梅核仁,0.99919623,2.0,2.0,1.0,1.0
25,CHP02484,轮环藤,0.99915856,15.0,15.0,1.0,1.0
26,CHP02340,列当,0.99906635,5.0,5.0,2.0,2.0
27,CHP00874,杜衡,0.99906305,9.0,9.0,2.0,2.0
28,CHP05837,海参,0.9990581,1.0,1.0,1.0,1.0
29,CHP03687,省沽油,0.9989748150000001,13.0,13.0,4.0,4.0
30,CHP02769,美人蕉,0.99897275,4.0,4.0,2.0,2.0
31,CHP00231,北玄参,0.9989217159999999,15.0,15.0,6.0,5.0
32,CHP04975,羊踯躅,0.9989033,15.0,15.0,1.0,1.0
33,CHP02914,苜蓿根,0.9988521,2.0,2.0,1.0,1.0
34,CHP03187,千日红,0.99881471,12.0,12.0,4.0,4.0
35,CHP05766,鳖甲,0.9987984,2.0,2.0,2.0,1.0
36,CHP03274,秋海棠,0.99879646,5.0,5.0,1.0,1.0
37,CHP03010,牛奶树,0.9987683,4.0,4.0,1.0,1.0
38,CHP02951,南烛,0.9987441349999999,4.0,4.0,2.0,2.0
39,CHP05841,海螵蛸,0.9986955,2.0,2.0,1.0,1.0
40,CHP05683,紫藤,0.99868315,1.0,1.0,1.0,1.0
41,CHP00859,独角莲,0.9986419033333332,8.0,8.0,3.0,3.0
42,CHP02282,荔枝叶,0.9985609,6.0,6.0,1.0,1.0
43,CHP03097,皮哨子,0.9984821800000001,5.0,5.0,2.0,2.0
44,CHP01241,古柯,0.99847612,12.0,12.0,3.0,3.0
45,CHP01593,华南吴茱萸,0.99841945,4.0,4.0,3.0,2.0
46,CHP00364,澄茄子,0.9984189,4.0,4.0,1.0,1.0
47,CHP01750,灰叶,0.99832,8.0,8.0,1.0,1.0
48,CHP06038,犀角,0.9983055,2.0,2.0,1.0,1.0
