rank,CHP_ID,Chinese_herbal_pieces,ultra_high_count,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP01416,红豆杉,211.0,548.0,548.0,221.0,211.0
2,CHP04552,香茶菜,173.0,463.0,463.0,177.0,173.0
3,CHP00014,艾叶,127.0,397.0,397.0,158.0,127.0
4,CHP00417,川乌,86.0,268.0,268.0,92.0,86.0
5,CHP01118,甘草,82.0,341.0,341.0,120.0,82.0
6,CHP00689,地黄,81.0,285.0,285.0,91.0,81.0
7,CHP00984,番荔枝,80.0,285.0,285.0,91.0,80.0
8,CHP00030,八角茴香,75.0,266.0,266.0,85.0,75.0
9,CHP06111,灵芝,68.0,283.0,283.0,74.0,68.0
10,CHP00162,白芷,67.0,307.0,307.0,96.0,67.0
11,CHP00412,川贝母,66.0,228.0,228.0,74.0,66.0
12,CHP00355,车前草,63.0,197.0,197.0,74.0,63.0
13,CHP00341,柴胡,60.0,299.0,299.0,73.0,60.0
14,CHP00948,莪术,58.0,226.0,226.0,64.0,58.0
15,CHP00360,沉香,57.0,259.0,259.0,75.0,57.0
16,CHP00216,薄荷,57.0,252.0,252.0,71.0,57.0
17,CHP02254,雷公藤,55.0,257.0,257.0,60.0,55.0
18,CHP01898,芥子,55.0,136.0,136.0,59.0,55.0
19,CHP00274,槟榔,54.0,172.0,172.0,66.0,54.0
20,CHP00812,冬瓜皮,54.0,174.0,174.0,70.0,54.0
21,CHP05675,紫杉,54.0,102.0,102.0,54.0,54.0
22,CHP00333,茶叶,51.0,125.0,125.0,58.0,51.0
23,CHP00209,半夏,51.0,155.0,155.0,57.0,51.0
24,CHP00543,板蓝根,50.0,193.0,193.0,64.0,50.0
25,CHP00608,大枣,49.0,164.0,164.0,56.0,49.0
26,CHP00019,安息香,48.0,171.0,171.0,62.0,48.0
27,CHP00513,大黄,47.0,205.0,205.0,65.0,47.0
28,CHP01515,胡椒,47.0,134.0,134.0,51.0,47.0
29,CHP01717,黄芪,46.0,171.0,171.0,49.0,46.0
30,CHP01206,钩藤,45.0,174.0,174.0,47.0,45.0
31,CHP00638,当归,45.0,171.0,171.0,57.0,45.0
32,CHP01516,胡芦巴,45.0,144.0,144.0,47.0,45.0
33,CHP01681,黄荆子,41.0,103.0,103.0,42.0,41.0
34,CHP00039,巴戟天,38.0,153.0,153.0,62.0,38.0
35,CHP00003,阿魏,38.0,133.0,133.0,44.0,38.0
36,CHP03397,三七,37.0,117.0,117.0,46.0,37.0
37,CHP02037,蒟蒻薯,37.0,71.0,71.0,37.0,37.0
38,CHP02172,辣椒,37.0,108.0,108.0,46.0,37.0
39,CHP00121,白毛藤,37.0,121.0,121.0,41.0,37.0
40,CHP00170,百合,36.0,137.0,137.0,44.0,36.0
41,CHP00779,丁香,36.0,137.0,137.0,40.0,36.0
42,CHP05190,淫羊藿,36.0,165.0,165.0,46.0,36.0
43,CHP03229,青蒿,35.0,120.0,120.0,35.0,35.0
44,CHP00037,巴豆,35.0,137.0,137.0,48.0,35.0
45,CHP02098,苦丁茶,35.0,127.0,127.0,36.0,35.0
46,CHP00306,藏红花,35.0,134.0,134.0,42.0,35.0
47,CHP00032,八角莲,35.0,138.0,138.0,44.0,35.0
48,CHP00303,苍术,35.0,111.0,111.0,40.0,35.0
49,CHP00612,代代花,34.0,96.0,96.0,36.0,34.0
50,CHP00288,补骨脂,34.0,181.0,181.0,49.0,34.0
51,CHP01058,蜂斗菜,34.0,94.0,94.0,41.0,34.0
52,CHP05319,远志,33.0,120.0,120.0,36.0,33.0
53,CHP02748,没药,33.0,291.0,291.0,34.0,33.0
54,CHP00142,白术,32.0,118.0,118.0,36.0,32.0
55,CHP04565,香加皮,32.0,106.0,106.0,32.0,32.0
56,CHP00519,大戟,32.0,107.0,107.0,39.0,32.0
57,CHP00258,扁豆,31.0,93.0,93.0,38.0,31.0
58,CHP00088,白花菜子,31.0,94.0,94.0,35.0,31.0
59,CHP01958,金银花,31.0,146.0,146.0,36.0,31.0
60,CHP03202,羌活,31.0,102.0,102.0,34.0,31.0
61,CHP01425,红花,31.0,114.0,114.0,34.0,31.0
62,CHP00187,败酱草,31.0,70.0,70.0,38.0,31.0
63,CHP00212,半枝莲,31.0,113.0,113.0,37.0,31.0
64,CHP01623,槐花,30.0,112.0,112.0,37.0,30.0
65,CHP01508,厚朴,30.0,121.0,121.0,46.0,30.0
66,CHP00672,地耳草,29.0,98.0,98.0,42.0,29.0
67,CHP00151,白鲜皮,29.0,117.0,117.0,30.0,29.0
68,CHP02119,苦楝皮,28.0,87.0,87.0,29.0,28.0
69,CHP01374,黑豆,27.0,120.0,120.0,35.0,27.0
70,CHP00168,百部,27.0,181.0,181.0,32.0,27.0
71,CHP05782,蟾酥,26.0,71.0,71.0,26.0,26.0
72,CHP01146,干姜,26.0,106.0,106.0,29.0,26.0
73,CHP00048,菝葜,26.0,90.0,90.0,33.0,26.0
74,CHP01334,海带,26.0,65.0,65.0,28.0,26.0
75,CHP03630,商陆,26.0,93.0,93.0,27.0,26.0
76,CHP03665,伸筋草,25.0,43.0,43.0,29.0,25.0
77,CHP00106,白蜡树皮,25.0,82.0,82.0,30.0,25.0
78,CHP02568,马兜铃,25.0,85.0,85.0,26.0,25.0
79,CHP05051,野菊花,25.0,54.0,54.0,25.0,25.0
80,CHP01824,荠菜,25.0,51.0,51.0,26.0,25.0
81,CHP02298,连翘,24.0,116.0,116.0,28.0,24.0
82,CHP04075,藤黄,24.0,96.0,96.0,43.0,24.0
83,CHP03444,沙棘,24.0,90.0,90.0,33.0,24.0
84,CHP00300,苍耳子,24.0,71.0,71.0,30.0,24.0
85,CHP01543,槲寄生,24.0,61.0,61.0,25.0,24.0
86,CHP01514,胡黄连,24.0,74.0,74.0,24.0,24.0
87,CHP00361,陈皮,24.0,103.0,103.0,36.0,24.0
88,CHP05157,益母草,24.0,69.0,69.0,26.0,24.0
89,CHP05646,紫金牛,24.0,122.0,122.0,26.0,24.0
90,CHP02566,马齿苋,24.0,64.0,64.0,24.0,24.0
91,CHP02400,龙胆草,23.0,65.0,65.0,24.0,23.0
92,CHP04419,五味子,23.0,239.0,239.0,26.0,23.0
93,CHP00059,白菖,23.0,61.0,61.0,27.0,23.0
94,CHP00431,椿皮,23.0,95.0,95.0,24.0,23.0
95,CHP00241,萆薢,23.0,74.0,74.0,25.0,23.0
96,CHP01449,红景天,23.0,44.0,44.0,26.0,23.0
97,CHP02909,木竹子,23.0,64.0,64.0,35.0,23.0
98,CHP05478,栀子,23.0,48.0,48.0,23.0,23.0
99,CHP00819,冬葵果,23.0,80.0,80.0,24.0,23.0
100,CHP00201,半边莲,23.0,96.0,96.0,27.0,23.0
101,CHP01834,夹竹桃,22.0,58.0,58.0,23.0,22.0
102,CHP00455,刺桐,22.0,104.0,104.0,42.0,22.0
103,CHP00146,白头翁,22.0,93.0,93.0,29.0,22.0
104,CHP00071,白饭豆,22.0,51.0,51.0,22.0,22.0
105,CHP02176,辣木,22.0,118.0,118.0,28.0,22.0
106,CHP02901,木通,22.0,62.0,62.0,23.0,22.0
107,CHP03635,芍药,22.0,107.0,107.0,26.0,22.0
108,CHP02656,猫须草,22.0,49.0,49.0,22.0,22.0
109,CHP02125,苦木,22.0,62.0,62.0,22.0,22.0
110,CHP04083,天冬,22.0,54.0,54.0,23.0,22.0
111,CHP05805,蜂胶,22.0,83.0,83.0,30.0,22.0
112,CHP03716,石斛,21.0,74.0,74.0,24.0,21.0
113,CHP03698,十大功劳叶,21.0,67.0,67.0,21.0,21.0
114,CHP02297,连钱草,21.0,61.0,61.0,23.0,21.0
115,CHP00617,丹参,21.0,235.0,235.0,28.0,21.0
116,CHP00458,葱白,21.0,70.0,70.0,27.0,21.0
117,CHP06127,树舌,21.0,46.0,46.0,22.0,21.0
