rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP03113,苹果,0.99003947,1.0,1.0,1.0,1.0
2,CHP04888,亚麻子,0.9792942,4.0,4.0,1.0,1.0
3,CHP00298,苍耳,0.9737245,17.0,17.0,8.0,1.0
4,CHP05780,蟾皮,0.9732671,4.0,4.0,2.0,1.0
5,CHP01988,粳米,0.9712764,9.0,9.0,7.0,1.0
6,CHP04093,天麻,0.9681532,11.0,11.0,1.0,1.0
7,CHP05283,玉兰,0.9680934,44.0,44.0,13.0,1.0
8,CHP05680,紫苏子,0.968035025,22.0,22.0,6.0,2.0
9,CHP05880,鸡脑,0.9660451,3.0,3.0,2.0,1.0
10,CHP05975,青蛙,0.9656869,4.0,4.0,3.0,1.0
11,CHP00583,大叶蒟,0.96185005,2.0,2.0,1.0,1.0
12,CHP01811,吉林乌头,0.960437,1.0,1.0,1.0,1.0
13,CHP00401,樗叶花椒,0.9602666,7.0,7.0,1.0,1.0
14,CHP01161,高良姜,0.9581976,51.0,51.0,4.0,1.0
15,CHP02501,罗汉松叶,0.957102,9.0,9.0,3.0,1.0
16,CHP04897,延胡索,0.9555148,19.0,19.0,2.0,1.0
17,CHP01011,防己,0.9549322159999999,41.0,41.0,18.0,5.0
18,CHP02588,马桑,0.954125775,15.0,15.0,5.0,4.0
19,CHP00016,安徽贝母,0.953775015,11.0,11.0,9.0,4.0
20,CHP01185,葛根,0.9533829933333333,43.0,43.0,17.0,3.0
21,CHP01187,葛花,0.952934505,63.0,63.0,9.0,2.0
22,CHP01235,枸杞叶,0.952662024,14.0,14.0,9.0,5.0
23,CHP04736,小叶贯众,0.952293305,6.0,6.0,4.0,2.0
24,CHP00238,荜茇,0.9514474,75.0,75.0,15.0,3.0
25,CHP00541,大青,0.9514387,2.0,2.0,1.0,1.0
26,CHP03383,三尖杉,0.95118243,37.0,37.0,9.0,2.0
27,CHP05542,珠子草,0.95062685,13.0,13.0,3.0,1.0
28,CHP03020,牛尾蒿,0.950490625,14.0,14.0,6.0,2.0
29,CHP03321,人参芦,0.950469,2.0,2.0,1.0,1.0
30,CHP00857,独活,0.9504085,108.0,108.0,25.0,3.0
31,CHP02161,昆明山海棠,0.9493056699999999,44.0,44.0,18.0,5.0
32,CHP02546,麻黄,0.9488090266666666,88.0,88.0,22.0,3.0
33,CHP05841,海螵蛸,0.9486926,2.0,2.0,1.0,1.0
34,CHP03201,茜草藤,0.9485606,1.0,1.0,1.0,1.0
35,CHP01019,飞燕草,0.9483590325,17.0,17.0,10.0,8.0
36,CHP00533,大麻叶泽兰,0.948053,8.0,8.0,3.0,1.0
37,CHP03771,柿蒂,0.94761267,39.0,39.0,22.0,2.0
38,CHP00448,刺梨,0.9471879,5.0,5.0,3.0,1.0
39,CHP02342,裂果薯,0.9467799050000001,17.0,17.0,9.0,8.0
40,CHP00828,冬珊瑚,0.94661397,5.0,5.0,1.0,1.0
41,CHP00424,垂盆草,0.94652003,67.0,67.0,17.0,1.0
42,CHP02077,刻裂紫堇,0.9463234,13.0,13.0,1.0,1.0
43,CHP01757,茴香,0.9453322,14.0,14.0,3.0,1.0
44,CHP04467,喜旱莲子草,0.94528615,7.0,7.0,3.0,1.0
45,CHP00081,白蒿,0.9448995499999999,9.0,9.0,3.0,2.0
46,CHP04042,太子参,0.944325882,19.0,19.0,7.0,5.0
47,CHP04150,铁力木,0.94430447,17.0,17.0,1.0,1.0
48,CHP04047,檀香,0.94417876,27.0,27.0,16.0,1.0
49,CHP01359,河套大黄,0.94296396,2.0,2.0,2.0,1.0
50,CHP01323,桂皮,0.9427747700000001,11.0,11.0,3.0,3.0
51,CHP05456,浙贝母,0.9427743,3.0,3.0,1.0,1.0
52,CHP02037,蒟蒻薯,0.942588825,71.0,71.0,30.0,24.0
53,CHP01723,黄芩,0.94178617,46.0,46.0,10.0,1.0
54,CHP01256,关白附,0.9417591433333334,16.0,16.0,8.0,6.0
55,CHP00300,苍耳子,0.941533475,71.0,71.0,26.0,2.0
56,CHP02500,罗汉松实,0.9413230662500001,17.0,17.0,9.0,8.0
57,CHP05061,野马追,0.94124879875,17.0,17.0,10.0,8.0
58,CHP00472,打碗花,0.9412092,3.0,3.0,2.0,1.0
59,CHP02623,曼陀罗叶,0.9408345,14.0,14.0,5.0,1.0
60,CHP03768,使君子,0.94068,25.0,25.0,5.0,2.0
61,CHP01813,吉祥草,0.940475197142857,20.0,20.0,10.0,7.0
62,CHP02131,苦树皮,0.9404706909090909,58.0,58.0,17.0,11.0
63,CHP01110,附子,0.940228082142857,81.0,81.0,64.0,42.0
64,CHP00362,柽柳,0.940081,53.0,53.0,13.0,1.0
65,CHP04821,萱草,0.9396754666666668,9.0,9.0,5.0,3.0
66,CHP01138,橄榄,0.93935437,25.0,25.0,9.0,2.0
67,CHP01625,槐角,0.9392141,18.0,18.0,4.0,1.0
68,CHP04809,绣线菊叶,0.9389292625000001,9.0,9.0,4.0,4.0
69,CHP01543,槲寄生,0.93881393,61.0,61.0,14.0,2.0
70,CHP00246,蓖麻子,0.9387518699999999,37.0,37.0,14.0,3.0
71,CHP01345,海州骨碎补,0.9386214,10.0,10.0,6.0,1.0
72,CHP02100,苦豆子,0.9383774,2.0,2.0,1.0,1.0
73,CHP03213,荞麦,0.9383007466666666,14.0,14.0,5.0,3.0
74,CHP02063,开口箭,0.9380712444444446,50.0,50.0,23.0,18.0
75,CHP02176,辣木,0.93802087,118.0,118.0,35.0,2.0
76,CHP04477,细茎石斛,0.9379338,4.0,4.0,1.0,1.0
77,CHP01797,鸡嗉子,0.93781193,4.0,4.0,3.0,2.0
78,CHP02007,韭菜,0.93780656,4.0,4.0,3.0,3.0
79,CHP04608,向日葵叶,0.9376982,11.0,11.0,5.0,1.0
80,CHP05185,银杏,0.9376400675,42.0,42.0,20.0,8.0
81,CHP01534,葫芦茶,0.93760137,12.0,12.0,5.0,2.0
82,CHP06091,茯苓皮,0.9375598,39.0,39.0,21.0,1.0
83,CHP00445,刺槐花,0.9373294,14.0,14.0,6.0,2.0
84,CHP03214,茄子,0.9373115,8.0,8.0,6.0,3.0
85,CHP03754,石韦,0.9372861,4.0,4.0,3.0,1.0
86,CHP00421,穿龙薯蓣,0.9372356657142856,37.0,37.0,13.0,7.0
87,CHP00470,翠雀花,0.9370356909090908,52.0,52.0,28.0,22.0
88,CHP02272,藜芦,0.936857200625,38.0,38.0,21.0,16.0
89,CHP01728,黄山药,0.936748985,5.0,5.0,4.0,2.0
90,CHP01412,红椿,0.9366029,5.0,5.0,1.0,1.0
91,CHP04065,桃仁,0.9365858691999999,72.0,72.0,43.0,25.0
92,CHP04069,桃枝,0.936478225,13.0,13.0,3.0,2.0
93,CHP05877,鸡胆,0.9364355,2.0,2.0,2.0,1.0
94,CHP00928,多花蒿,0.936388638,10.0,10.0,10.0,10.0
95,CHP02412,龙舌兰,0.9363421226666665,28.0,28.0,16.0,15.0
96,CHP01181,戈壁天门冬,0.9357306,10.0,10.0,4.0,1.0
97,CHP05689,紫葳茎叶,0.9356492166666667,6.0,6.0,4.0,3.0
98,CHP02048,卷柏,0.9356215,25.0,25.0,5.0,2.0
99,CHP02061,君迁子,0.93550646,7.0,7.0,4.0,1.0
100,CHP00080,白果紫草,0.93547744,11.0,11.0,4.0,1.0
101,CHP00844,豆蔻,0.9353894,66.0,66.0,8.0,1.0
102,CHP01599,华山参,0.935327325,12.0,12.0,4.0,2.0
103,CHP02951,南烛,0.9352715,4.0,4.0,2.0,2.0
104,CHP00906,堆心菊,0.9351873177777777,25.0,25.0,10.0,9.0
105,CHP04622,小百部,0.93512756,1.0,1.0,1.0,1.0
106,CHP00417,川乌,0.9348821205714285,268.0,268.0,129.0,70.0
107,CHP04328,文竹,0.9348688,1.0,1.0,1.0,1.0
