rank,CHP_ID,Chinese_herbal_pieces,ultra_high_count,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP04552,香茶菜,214.0,463.0,463.0,266.0,214.0
2,CHP01886,绞股蓝,104.0,247.0,247.0,221.0,104.0
3,CHP00168,百部,85.0,181.0,181.0,119.0,85.0
4,CHP00689,地黄,84.0,285.0,285.0,178.0,84.0
5,CHP01416,红豆杉,82.0,548.0,548.0,301.0,82.0
6,CHP00412,川贝母,77.0,228.0,228.0,116.0,77.0
7,CHP00417,川乌,70.0,268.0,268.0,129.0,70.0
8,CHP00341,柴胡,69.0,299.0,299.0,156.0,69.0
9,CHP01717,黄芪,54.0,171.0,171.0,82.0,54.0
10,CHP05477,知母,49.0,91.0,91.0,63.0,49.0
11,CHP02098,苦丁茶,47.0,127.0,127.0,80.0,47.0
12,CHP01516,胡芦巴,45.0,144.0,144.0,85.0,45.0
13,CHP01110,附子,42.0,81.0,81.0,64.0,42.0
14,CHP04565,香加皮,40.0,106.0,106.0,68.0,40.0
15,CHP01958,金银花,39.0,146.0,146.0,77.0,39.0
16,CHP03319,人参,38.0,128.0,128.0,97.0,38.0
17,CHP00824,冬凌草,37.0,50.0,50.0,44.0,37.0
18,CHP03698,十大功劳叶,36.0,67.0,67.0,44.0,36.0
19,CHP02017,桔梗,35.0,99.0,99.0,75.0,35.0
20,CHP01818,蒺藜,35.0,75.0,75.0,52.0,35.0
21,CHP00121,白毛藤,35.0,121.0,121.0,78.0,35.0
22,CHP00151,白鲜皮,34.0,117.0,117.0,65.0,34.0
23,CHP00322,草乌,34.0,79.0,79.0,47.0,34.0
24,CHP04818,续断,34.0,97.0,97.0,75.0,34.0
25,CHP05646,紫金牛,32.0,122.0,122.0,56.0,32.0
26,CHP03229,青蒿,32.0,120.0,120.0,65.0,32.0
27,CHP03682,升麻,31.0,134.0,134.0,93.0,31.0
28,CHP00543,板蓝根,31.0,193.0,193.0,89.0,31.0
29,CHP00039,巴戟天,29.0,153.0,153.0,57.0,29.0
30,CHP02748,没药,29.0,291.0,291.0,163.0,29.0
31,CHP02405,龙葵,29.0,55.0,55.0,38.0,29.0
32,CHP00608,大枣,28.0,164.0,164.0,77.0,28.0
33,CHP02495,罗汉果,27.0,102.0,102.0,64.0,27.0
34,CHP00037,巴豆,27.0,137.0,137.0,69.0,27.0
35,CHP00170,百合,27.0,137.0,137.0,57.0,27.0
36,CHP00209,半夏,26.0,155.0,155.0,76.0,26.0
37,CHP01681,黄荆子,26.0,103.0,103.0,46.0,26.0
38,CHP05992,人中白,25.0,83.0,83.0,49.0,25.0
39,CHP00150,白薇,25.0,85.0,85.0,50.0,25.0
40,CHP03024,牛膝,25.0,162.0,162.0,117.0,25.0
41,CHP04065,桃仁,25.0,72.0,72.0,43.0,25.0
42,CHP00135,白前,24.0,78.0,78.0,44.0,24.0
43,CHP05782,蟾酥,24.0,71.0,71.0,41.0,24.0
44,CHP02254,雷公藤,24.0,257.0,257.0,126.0,24.0
45,CHP01236,枸杞子,24.0,137.0,137.0,81.0,24.0
46,CHP00431,椿皮,24.0,95.0,95.0,54.0,24.0
47,CHP03372,赛莨菪,24.0,44.0,44.0,30.0,24.0
48,CHP00048,菝葜,24.0,90.0,90.0,40.0,24.0
49,CHP02037,蒟蒻薯,24.0,71.0,71.0,30.0,24.0
50,CHP02125,苦木,23.0,62.0,62.0,33.0,23.0
51,CHP02119,苦楝皮,23.0,87.0,87.0,49.0,23.0
52,CHP03397,三七,23.0,117.0,117.0,44.0,23.0
53,CHP00470,翠雀花,22.0,52.0,52.0,28.0,22.0
54,CHP00146,白头翁,22.0,93.0,93.0,47.0,22.0
55,CHP01206,钩藤,22.0,174.0,174.0,71.0,22.0
56,CHP03323,人参叶,21.0,75.0,75.0,47.0,21.0
57,CHP02808,绵萆薢,21.0,53.0,53.0,32.0,21.0
58,CHP03111,平贝母,21.0,24.0,24.0,22.0,21.0
59,CHP00746,滇茜草,20.0,31.0,31.0,27.0,20.0
60,CHP03192,牵牛子,20.0,39.0,39.0,29.0,20.0
61,CHP01246,瓜蒌,20.0,90.0,90.0,39.0,20.0
62,CHP00989,番茄,20.0,53.0,53.0,26.0,20.0
63,CHP02023,菊苣,20.0,70.0,70.0,41.0,20.0
64,CHP02676,毛萼香茶菜,19.0,39.0,39.0,23.0,19.0
