rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP03113,苹果,0.99003947,1.0,1.0,1.0,1.0
2,CHP04888,亚麻子,0.9792942,4.0,4.0,1.0,1.0
3,CHP04093,天麻,0.9681532,11.0,11.0,1.0,1.0
4,CHP00583,大叶蒟,0.96185005,2.0,2.0,1.0,1.0
5,CHP01811,吉林乌头,0.960437,1.0,1.0,1.0,1.0
6,CHP00401,樗叶花椒,0.9602666,7.0,7.0,1.0,1.0
7,CHP00541,大青,0.9514387,2.0,2.0,1.0,1.0
8,CHP03321,人参芦,0.950469,2.0,2.0,1.0,1.0
9,CHP05841,海螵蛸,0.9486926,2.0,2.0,1.0,1.0
10,CHP03201,茜草藤,0.9485606,1.0,1.0,1.0,1.0
11,CHP00828,冬珊瑚,0.94661397,5.0,5.0,1.0,1.0
12,CHP02077,刻裂紫堇,0.9463234,13.0,13.0,1.0,1.0
13,CHP04150,铁力木,0.94430447,17.0,17.0,1.0,1.0
14,CHP01323,桂皮,0.9427747700000001,11.0,11.0,3.0,3.0
15,CHP05456,浙贝母,0.9427743,3.0,3.0,1.0,1.0
16,CHP02342,裂果薯,0.9395715377777779,17.0,17.0,9.0,8.0
17,CHP04809,绣线菊叶,0.9389292625000001,9.0,9.0,4.0,4.0
18,CHP02100,苦豆子,0.9383774,2.0,2.0,1.0,1.0
19,CHP04477,细茎石斛,0.9379338,4.0,4.0,1.0,1.0
20,CHP02007,韭菜,0.93780656,4.0,4.0,3.0,3.0
21,CHP01412,红椿,0.9366029,5.0,5.0,1.0,1.0
22,CHP01019,飞燕草,0.9365149629999999,17.0,17.0,10.0,8.0
23,CHP00928,多花蒿,0.936388638,10.0,10.0,10.0,10.0
24,CHP02951,南烛,0.9352715,4.0,4.0,2.0,2.0
25,CHP04622,小百部,0.93512756,1.0,1.0,1.0,1.0
26,CHP04328,文竹,0.9348688,1.0,1.0,1.0,1.0
27,CHP02696,毛连菜,0.93482227,4.0,4.0,2.0,2.0
28,CHP05843,海燕,0.93469097,2.0,2.0,2.0,2.0
29,CHP03018,牛尾菜,0.9344546,1.0,1.0,1.0,1.0
30,CHP00178,百眼藤,0.93292505,5.0,5.0,1.0,1.0
31,CHP04666,小花盾叶薯蓣,0.93281573,1.0,1.0,1.0,1.0
32,CHP02504,罗勒子,0.9328101,1.0,1.0,1.0,1.0
33,CHP03002,牛筋果,0.93269587,7.0,7.0,1.0,1.0
34,CHP05183,银线草,0.9325388533333333,7.0,7.0,3.0,3.0
35,CHP03884,水茄,0.9324600281818182,17.0,17.0,11.0,11.0
36,CHP00649,倒吊笔,0.932406225,2.0,2.0,2.0,2.0
37,CHP00038,巴豆霜,0.93145114,1.0,1.0,1.0,1.0
38,CHP02412,龙舌兰,0.93142294,28.0,28.0,16.0,15.0
39,CHP02934,南山藤,0.9312181466666667,5.0,5.0,3.0,3.0
40,CHP00023,暗紫贝母,0.9311353025,11.0,11.0,4.0,4.0
41,CHP05730,总状升麻,0.93106547875,11.0,11.0,8.0,8.0
42,CHP05548,猪毛蒿,0.9309335,3.0,3.0,1.0,1.0
43,CHP02588,马桑,0.9309253999999999,15.0,15.0,5.0,4.0
44,CHP01170,高山辣根菜,0.9306795,1.0,1.0,1.0,1.0
45,CHP04772,心叶荆芥,0.93058777,3.0,3.0,1.0,1.0
46,CHP03498,山地香茶菜,0.9302091507692308,18.0,18.0,13.0,13.0
47,CHP03853,水黄连,0.93013495,6.0,6.0,1.0,1.0
48,CHP03440,沙冬青,0.9292852,2.0,2.0,1.0,1.0
49,CHP02567,马蛋果,0.9291746,2.0,2.0,1.0,1.0
50,CHP05481,栀子叶,0.9289948,1.0,1.0,1.0,1.0
51,CHP02563,马槟榔,0.9289522299999999,2.0,2.0,2.0,2.0
52,CHP00081,白蒿,0.9288978,9.0,9.0,3.0,2.0
53,CHP00662,稻芽,0.9283695000000001,2.0,2.0,2.0,2.0
54,CHP01540,湖北黄精,0.9279565857142857,13.0,13.0,7.0,6.0
55,CHP03981,苏铁,0.92753947,7.0,7.0,1.0,1.0
56,CHP04280,晚香玉,0.927374869,19.0,19.0,10.0,9.0
57,CHP05061,野马追,0.9273731309999999,17.0,17.0,10.0,8.0
58,CHP02439,耧斗菜,0.926892134,16.0,16.0,10.0,10.0
59,CHP04163,铁树叶,0.9266659,1.0,1.0,1.0,1.0
60,CHP04933,岩乌头,0.9265976,1.0,1.0,1.0,1.0
61,CHP00430,椿白皮,0.92656106,1.0,1.0,1.0,1.0
62,CHP05689,紫葳茎叶,0.9265158875,6.0,6.0,4.0,3.0
63,CHP00220,宝盖草,0.9265103,12.0,12.0,5.0,5.0
64,CHP05780,蟾皮,0.92618805,4.0,4.0,2.0,1.0
65,CHP04898,延龄草,0.92611856875,12.0,12.0,8.0,7.0
66,CHP02121,苦楝叶,0.92600528,3.0,3.0,2.0,2.0
67,CHP02500,罗汉松实,0.9258207766666666,17.0,17.0,9.0,8.0
68,CHP00906,堆心菊,0.9258182959999999,25.0,25.0,10.0,9.0
69,CHP03426,桑寄生,0.925765455,6.0,6.0,2.0,2.0
70,CHP02037,蒟蒻薯,0.9254311749999999,71.0,71.0,30.0,24.0
71,CHP04170,铁仔,0.92536175,3.0,3.0,1.0,1.0
72,CHP03111,平贝母,0.9251516940909091,24.0,24.0,22.0,21.0
73,CHP04316,卫矛,0.92512596,3.0,3.0,1.0,1.0
74,CHP05295,芋头,0.92452085,4.0,4.0,1.0,1.0
75,CHP05581,竹叶柴胡,0.9244361,2.0,2.0,1.0,1.0
76,CHP01727,黄三七,0.9243409440000001,7.0,7.0,5.0,5.0
77,CHP04178,通关藤,0.924303743,21.0,21.0,10.0,9.0
78,CHP04465,溪黄草,0.9242140785714286,7.0,7.0,7.0,6.0
79,CHP00767,钓樟根皮,0.92408925,8.0,8.0,1.0,1.0
80,CHP01183,茖葱,0.9240021300000001,6.0,6.0,2.0,2.0
81,CHP01604,华中瘤足蕨,0.92360795,1.0,1.0,1.0,1.0
82,CHP04866,鸦胆子,0.9235323066666665,12.0,12.0,9.0,9.0
83,CHP01256,关白附,0.92352601375,16.0,16.0,8.0,6.0
84,CHP00724,灯笼泡,0.923318875,5.0,5.0,2.0,2.0
85,CHP01144,干冬菜,0.9231914,2.0,2.0,1.0,1.0
86,CHP04358,乌苏里瓦韦,0.9231532,2.0,2.0,1.0,1.0
87,CHP03038,糯稻根,0.9227059714285714,13.0,13.0,7.0,6.0
88,CHP01424,红厚壳,0.92174553,40.0,40.0,2.0,2.0
89,CHP00514,大黄花,0.9216394916666667,9.0,9.0,6.0,6.0
90,CHP05357,芸薹,0.9215685,2.0,2.0,1.0,1.0
91,CHP03364,瑞香根,0.9212556000000001,4.0,4.0,2.0,2.0
92,CHP02009,韭菜子,0.9211492950000001,19.0,19.0,4.0,4.0
93,CHP04042,太子参,0.9209273357142856,19.0,19.0,7.0,5.0
94,CHP03881,水木草,0.9204513,1.0,1.0,1.0,1.0
95,CHP02878,木槿花,0.92007524,3.0,3.0,1.0,1.0
96,CHP05489,止泻木皮,0.9199688442105265,43.0,43.0,19.0,18.0
97,CHP03596,山樱桃,0.9198122,4.0,4.0,2.0,2.0
98,CHP01537,湖北贝母,0.919697506,9.0,9.0,5.0,4.0
99,CHP00078,白果根,0.9192176141666667,16.0,16.0,12.0,10.0
100,CHP02609,麦瓶草,0.9191273,1.0,1.0,1.0,1.0
101,CHP01716,黄皮叶,0.918501835,4.0,4.0,2.0,2.0
102,CHP01403,衡州乌药,0.91847503,7.0,7.0,1.0,1.0
103,CHP04070,桃子,0.9183814,2.0,2.0,1.0,1.0
104,CHP02606,麦冬,0.918340353809524,70.0,70.0,21.0,16.0
105,CHP02063,开口箭,0.9182706295652174,50.0,50.0,23.0,18.0
