rank,CHP_ID,Chinese_herbal_pieces,max_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP03383,三尖杉,0.99759036,37.0,37.0,9.0,2.0
2,CHP01187,葛花,0.99714595,63.0,63.0,9.0,2.0
3,CHP01011,防己,0.99582547,41.0,41.0,18.0,5.0
4,CHP00037,巴豆,0.9951333,137.0,137.0,69.0,27.0
5,CHP04216,土贝母,0.9940301,24.0,24.0,16.0,3.0
6,CHP01185,葛根,0.99317473,43.0,43.0,17.0,3.0
7,CHP00341,柴胡,0.9924942,299.0,299.0,156.0,69.0
8,CHP00421,穿龙薯蓣,0.99125844,37.0,37.0,13.0,7.0
9,CHP03113,苹果,0.99003947,1.0,1.0,1.0,1.0
10,CHP00209,半夏,0.989879,155.0,155.0,76.0,26.0
11,CHP00258,扁豆,0.98840064,93.0,93.0,35.0,9.0
12,CHP00030,八角茴香,0.986211,266.0,266.0,67.0,9.0
13,CHP00019,安息香,0.98559684,171.0,171.0,62.0,18.0
14,CHP04736,小叶贯众,0.98486966,6.0,6.0,4.0,2.0
15,CHP05992,人中白,0.9832589,83.0,83.0,49.0,25.0
16,CHP00557,大蒜,0.98304254,80.0,80.0,43.0,18.0
17,CHP04042,太子参,0.9826704,19.0,19.0,7.0,5.0
18,CHP00168,百部,0.98010236,181.0,181.0,119.0,85.0
19,CHP02297,连钱草,0.9799059,61.0,61.0,26.0,15.0
20,CHP04888,亚麻子,0.9792942,4.0,4.0,1.0,1.0
21,CHP00016,安徽贝母,0.9791754,11.0,11.0,9.0,4.0
22,CHP02019,菊花,0.97912806,81.0,81.0,39.0,7.0
23,CHP04828,旋覆花,0.9776394,28.0,28.0,22.0,5.0
24,CHP05680,紫苏子,0.97615945,22.0,22.0,6.0,2.0
25,CHP00417,川乌,0.97607744,268.0,268.0,129.0,70.0
26,CHP00238,荜茇,0.97593343,75.0,75.0,15.0,3.0
27,CHP00608,大枣,0.9754985,164.0,164.0,77.0,28.0
28,CHP03771,柿蒂,0.97474784,39.0,39.0,22.0,2.0
29,CHP02546,麻黄,0.97407943,88.0,88.0,22.0,3.0
30,CHP00298,苍耳,0.9737245,17.0,17.0,8.0,1.0
31,CHP05780,蟾皮,0.9732671,4.0,4.0,2.0,1.0
32,CHP02254,雷公藤,0.97281677,257.0,257.0,126.0,24.0
33,CHP00445,刺槐花,0.9727422,14.0,14.0,6.0,2.0
34,CHP01235,枸杞叶,0.97255784,14.0,14.0,9.0,5.0
35,CHP01534,葫芦茶,0.9723837,12.0,12.0,5.0,2.0
36,CHP01146,干姜,0.9723487,106.0,106.0,35.0,11.0
37,CHP00543,板蓝根,0.9721376,193.0,193.0,89.0,31.0
38,CHP01988,粳米,0.9712764,9.0,9.0,7.0,1.0
39,CHP00355,车前草,0.96879137,197.0,197.0,82.0,13.0
40,CHP01543,槲寄生,0.9684291,61.0,61.0,14.0,2.0
41,CHP04093,天麻,0.9681532,11.0,11.0,1.0,1.0
42,CHP05283,玉兰,0.9680934,44.0,44.0,13.0,1.0
43,CHP01236,枸杞子,0.96778476,137.0,137.0,81.0,24.0
44,CHP03213,荞麦,0.96724874,14.0,14.0,5.0,3.0
45,CHP00689,地黄,0.96712935,285.0,285.0,178.0,84.0
46,CHP05880,鸡脑,0.9660451,3.0,3.0,2.0,1.0
47,CHP00356,车前子,0.96579504,42.0,42.0,30.0,9.0
48,CHP05975,青蛙,0.9656869,4.0,4.0,3.0,1.0
49,CHP02500,罗汉松实,0.96485233,17.0,17.0,9.0,8.0
50,CHP02588,马桑,0.9645796,15.0,15.0,5.0,4.0
51,CHP00772,跌打老,0.9629337,16.0,16.0,6.0,2.0
52,CHP01110,附子,0.9625021,81.0,81.0,64.0,42.0
53,CHP01127,甘松,0.96247405,50.0,50.0,23.0,10.0
54,CHP00470,翠雀花,0.9624716,52.0,52.0,28.0,22.0
55,CHP00078,白果根,0.962437,16.0,16.0,12.0,10.0
56,CHP02155,款冬花,0.9622885,79.0,79.0,39.0,7.0
57,CHP00906,堆心菊,0.96228826,25.0,25.0,10.0,9.0
58,CHP00076,白附子,0.9622202,58.0,58.0,18.0,2.0
59,CHP00583,大叶蒟,0.96185005,2.0,2.0,1.0,1.0
60,CHP02037,蒟蒻薯,0.96147186,71.0,71.0,30.0,24.0
61,CHP01019,飞燕草,0.96129876,17.0,17.0,10.0,8.0
62,CHP02904,木香,0.96095437,42.0,42.0,24.0,8.0
63,CHP04552,香茶菜,0.960816,463.0,463.0,266.0,214.0
64,CHP00300,苍耳子,0.96069825,71.0,71.0,26.0,2.0
65,CHP00857,独活,0.9606954,108.0,108.0,25.0,3.0
66,CHP01811,吉林乌头,0.960437,1.0,1.0,1.0,1.0
67,CHP00322,草乌,0.9603524,79.0,79.0,47.0,34.0
68,CHP03020,牛尾蒿,0.96032315,14.0,14.0,6.0,2.0
69,CHP00401,樗叶花椒,0.9602666,7.0,7.0,1.0,1.0
70,CHP05186,银杏叶,0.95999223,44.0,44.0,9.0,3.0
71,CHP05646,紫金牛,0.95994437,122.0,122.0,56.0,32.0
72,CHP02161,昆明山海棠,0.9595828,44.0,44.0,18.0,5.0
73,CHP01824,荠菜,0.95951307,51.0,51.0,18.0,8.0
74,CHP01898,芥子,0.95929813,136.0,136.0,73.0,6.0
75,CHP03372,赛莨菪,0.95926964,44.0,44.0,30.0,24.0
76,CHP00142,白术,0.95899785,118.0,118.0,61.0,17.0
77,CHP05185,银杏,0.95891714,42.0,42.0,20.0,8.0
78,CHP00162,白芷,0.95867383,307.0,307.0,45.0,6.0
79,CHP03319,人参,0.9584719,128.0,128.0,97.0,38.0
80,CHP00106,白蜡树皮,0.9584489,82.0,82.0,23.0,2.0
81,CHP00726,灯心草,0.9583521,37.0,37.0,12.0,2.0
82,CHP02272,藜芦,0.9582799,38.0,38.0,21.0,16.0
83,CHP01161,高良姜,0.9581976,51.0,51.0,4.0,1.0
84,CHP01356,合欢皮,0.95813334,35.0,35.0,19.0,7.0
85,CHP03363,瑞香,0.95805484,19.0,19.0,9.0,4.0
86,CHP00412,川贝母,0.9575434,228.0,228.0,116.0,77.0
87,CHP03698,十大功劳叶,0.9574639,67.0,67.0,44.0,36.0
88,CHP03341,肉苁蓉,0.9573997,64.0,64.0,45.0,9.0
89,CHP02501,罗汉松叶,0.957102,9.0,9.0,3.0,1.0
90,CHP00039,巴戟天,0.95622575,153.0,153.0,57.0,29.0
91,CHP01138,橄榄,0.9555396,25.0,25.0,9.0,2.0
92,CHP04897,延胡索,0.9555148,19.0,19.0,2.0,1.0
93,CHP00032,八角莲,0.955421,138.0,138.0,32.0,12.0
94,CHP00431,椿皮,0.9552412,95.0,95.0,54.0,24.0
95,CHP02557,麻叶,0.9552187,13.0,13.0,8.0,2.0
96,CHP02323,两面针,0.9551983,43.0,43.0,17.0,14.0
97,CHP02898,木天蓼,0.9551425,25.0,25.0,11.0,4.0
98,CHP00483,大车前,0.95497227,21.0,21.0,10.0,3.0
99,CHP02176,辣木,0.95495224,118.0,118.0,35.0,2.0
100,CHP06117,蘑菇,0.95400155,11.0,11.0,8.0,4.0
101,CHP00023,暗紫贝母,0.95386887,11.0,11.0,4.0,4.0
102,CHP02342,裂果薯,0.9537176,17.0,17.0,9.0,8.0
103,CHP00469,催吐萝芙木,0.95347214,19.0,19.0,5.0,3.0
104,CHP03683,生姜,0.9531256,75.0,75.0,31.0,7.0
105,CHP03178,千斤拔,0.9531151,37.0,37.0,15.0,2.0
106,CHP00081,白蒿,0.9528926,9.0,9.0,3.0,2.0
107,CHP03716,石斛,0.95266676,74.0,74.0,24.0,19.0
108,CHP00221,保山乌头,0.9526409,11.0,11.0,5.0,2.0
109,CHP01514,胡黄连,0.9522874,74.0,74.0,35.0,16.0
