rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1,CHP03113,苹果,0.99003947,1.0,1.0,1.0,1.0
2,CHP01811,吉林乌头,0.960437,1.0,1.0,1.0,1.0
3,CHP03201,茜草藤,0.9485606,1.0,1.0,1.0,1.0
4,CHP00928,多花蒿,0.936388638,10.0,10.0,10.0,10.0
5,CHP04622,小百部,0.93512756,1.0,1.0,1.0,1.0
6,CHP04328,文竹,0.9348688,1.0,1.0,1.0,1.0
7,CHP05843,海燕,0.93469097,2.0,2.0,2.0,2.0
8,CHP03018,牛尾菜,0.9344546,1.0,1.0,1.0,1.0
9,CHP04666,小花盾叶薯蓣,0.93281573,1.0,1.0,1.0,1.0
10,CHP02504,罗勒子,0.9328101,1.0,1.0,1.0,1.0
11,CHP00649,倒吊笔,0.932406225,2.0,2.0,2.0,2.0
12,CHP00038,巴豆霜,0.93145114,1.0,1.0,1.0,1.0
13,CHP01170,高山辣根菜,0.9306795,1.0,1.0,1.0,1.0
14,CHP05481,栀子叶,0.9289948,1.0,1.0,1.0,1.0
15,CHP02563,马槟榔,0.9289522299999999,2.0,2.0,2.0,2.0
16,CHP00662,稻芽,0.9283695000000001,2.0,2.0,2.0,2.0
17,CHP04163,铁树叶,0.9266659,1.0,1.0,1.0,1.0
18,CHP04933,岩乌头,0.9265976,1.0,1.0,1.0,1.0
19,CHP00430,椿白皮,0.92656106,1.0,1.0,1.0,1.0
20,CHP04465,溪黄草,0.9242140785714286,7.0,7.0,7.0,6.0
21,CHP01604,华中瘤足蕨,0.92360795,1.0,1.0,1.0,1.0
22,CHP03881,水木草,0.9204513,1.0,1.0,1.0,1.0
23,CHP02609,麦瓶草,0.9191273,1.0,1.0,1.0,1.0
24,CHP00428,春福寿草,0.9176343433333334,3.0,3.0,3.0,3.0
25,CHP04297,王孙,0.9169321,1.0,1.0,1.0,1.0
26,CHP03110,飘拂草,0.9137721,1.0,1.0,1.0,1.0
27,CHP01935,金雀根,0.9113747,1.0,1.0,1.0,1.0
28,CHP02998,牛角瓜,0.91019702,2.0,2.0,2.0,2.0
29,CHP06038,犀角,0.9043299,2.0,2.0,2.0,1.0
30,CHP05882,鸡肉,0.9037759,1.0,1.0,1.0,1.0
31,CHP04920,岩筋菜,0.902920075,4.0,4.0,4.0,3.0
32,CHP00210,半夏曲,0.902281275,2.0,2.0,2.0,1.0
33,CHP01359,河套大黄,0.9002974800000001,2.0,2.0,2.0,1.0
34,CHP00050,白八角莲,0.89976597,1.0,1.0,1.0,0.0
35,CHP04975,羊踯躅,0.8986771986666666,15.0,15.0,14.0,11.0
36,CHP00261,扁桃斑鸠菊,0.897470485,2.0,2.0,2.0,1.0
37,CHP03257,青羊参,0.89706811,2.0,2.0,2.0,1.0
38,CHP02511,萝藦子,0.8965332979999999,5.0,5.0,5.0,2.0
39,CHP05461,鹧鸪菜,0.89648485,1.0,1.0,1.0,0.0
40,CHP03111,平贝母,0.8927588804166667,24.0,24.0,22.0,21.0
41,CHP04324,文冠果,0.8920282275,4.0,4.0,4.0,2.0
42,CHP05670,紫萁,0.8911858500000001,2.0,2.0,2.0,1.0
43,CHP05355,云实叶,0.8900751,1.0,1.0,1.0,0.0
44,CHP01868,浆果苋,0.8900447,1.0,1.0,1.0,0.0
45,CHP02049,卷丹,0.88998735,1.0,1.0,1.0,0.0
46,CHP01076,凤眼草,0.8876804125000001,8.0,8.0,8.0,3.0
47,CHP03266,清明花,0.88714694,5.0,5.0,5.0,3.0
48,CHP02914,苜蓿根,0.88512445,2.0,2.0,2.0,1.0
